PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
24601,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
24601,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
24601,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,15
24601,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
24601,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
24601,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,E,0
24601,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,0
24601,1062,NIINA SECRETS DES COL 100ml,EUD,E,0
24601,1063,DEM NIINA SECRETS DES COL 4ml,EUD,E,0
24601,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,E,0
24601,1102,FLAC EUD DES COL TECIDOS 3X1ml,EUD,E,0
24601,1113,COMB AROMATER STRESS,BOT,E,0
24601,1114,COMB AROMATER ENERG,BOT,E,0
24601,1116,COMB AROMATER CALMA,BOT,E,0
24601,1124,EMBALAGEM PRESENTEAVEL INSTANCE,EUD,E,0
24601,1125,COMB EGEO DOLCE MAES NANICO,BOT,E,0
24601,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,E,0
24601,1160,GLAM BLUSH STCK MALVA 5g,EUD,E,0
24601,1192,GLAM BLUSH STCK GINGER 5g,EUD,E,0
24601,1204,GLAM GEL LIMP DEMAQ SK/PERF 100g,EUD,E,0
24601,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
24601,1245,GLAM ESMLT AMEIXA PROFUNDO 7ml,EUD,E,0
24601,1246,GLAM ESMLT AZUL CARBONO 7ml,EUD,E,0
24601,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,B,0
24601,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
24601,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
24601,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
24601,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,B,0
24601,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,B,0
24601,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,0
