PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
13867,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
13867,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
13867,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,27
13867,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
13867,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
13867,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,E,0
13867,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,0
13867,1062,NIINA SECRETS DES COL 100ml,EUD,E,0
13867,1063,DEM NIINA SECRETS DES COL 4ml,EUD,E,0
13867,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,E,0
13867,1102,FLAC EUD DES COL TECIDOS 3X1ml,EUD,E,0
13867,1113,COMB AROMATER STRESS,BOT,E,0
13867,1114,COMB AROMATER ENERG,BOT,E,0
13867,1116,COMB AROMATER CALMA,BOT,E,0
13867,1124,EMBALAGEM PRESENTEAVEL INSTANCE,EUD,E,0
13867,1125,COMB EGEO DOLCE MAES NANICO,BOT,E,0
13867,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,E,0
13867,1160,GLAM BLUSH STCK MALVA 5g,EUD,E,0
13867,1192,GLAM BLUSH STCK GINGER 5g,EUD,E,0
13867,1204,GLAM GEL LIMP DEMAQ SK/PERF 100g,EUD,E,0
13867,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
13867,1245,GLAM ESMLT AMEIXA PROFUNDO 7ml,EUD,E,0
13867,1246,GLAM ESMLT AZUL CARBONO 7ml,EUD,E,0
13867,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,E,0
13867,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
13867,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
13867,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
13867,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,E,0
13867,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,E,5
13867,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,A,3
13867,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,B,5
13867,14482,FLAC LILY EDP 4ml VE,BOT,E,0
13867,1454,"GLAM PLT SOMBRA ESSENTIAL 5,85g",EUD,E,0
13867,1478,COMB SIAGE REMOVE OLEOSIDADE SHAMP/COND,EUD,E,0
13867,1521,GLAM PLT MULT RED DIAM COR ELET/PINK 30g,EUD,E,0
13867,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,B,10
13867,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,B,12
13867,1638,COMB SIAGE MEN POMAD/SHAMP FORCA,EUD,E,0
13867,1639,COMB SIAGE MEN POMAD/SHAMP ANTICASPA,EUD,E,0
13867,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,2
13867,1641,SIAGE SHAMP HAIR/PLAS 250ml,EUD,E,0
13867,1642,COMB INSTANCE BAUN MINI LOC/SAB,EUD,E,0
13867,1643,COMB EUD SENS VELV CREM/SAB LIQ,EUD,E,0
13867,16438,FLAC GLAMOUR S/B DES COL 4ml VE,BOT,E,0
13867,16439,FLAC ANNI DES COL 4ML VE,BOT,E,0
13867,1644,SIAGE MASC CAP HIALUR HAIR/PLAS 250g,EUD,E,0
13867,1648,CJ SCH SIAGE HAIR/PLAS 3x7ml VDA,EUD,E,0
13867,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,2
13867,1652,COMB EUD MISS FLORALE CREM MAOS/LOC CPO,EUD,E,0
13867,1657,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,BOT,E,0
13867,1675,COMB GLAM REG OLHOS II,EUD,E,0
13867,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,0
13867,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,0
13867,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,7
13867,1703,NSPA OL CPO JASMIM SAMBAC 85ml,BOT,E,2
13867,1748,COMB IMENSI PERF E LOC,EUD,E,0
13867,1752,COMB EUD SEDISS CUIDADOS III,EUD,E,0
13867,17552,DEM/V CARBON DES COL 4ml,EUD,E,0
13867,1762,CBEM CARTCH PRES BEIJINHO,BOT,E,0
13867,1763,COMB EUDORA H PERF/AER,EUD,E,0
13867,1768,COMB RUMMO AVENTURA PERF/LOC,EUD,E,0
13867,1769,COMB EUD MISS FLORALE PERF/LOC/CREM MAO,EUD,E,0
13867,1776,COMB CLUB 6 VOYAGE PERF E SHAMP,EUD,E,0
13867,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,E,0
13867,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,E,0
13867,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,E,0
13867,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,E,5
13867,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,E,1
13867,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,E,1
