PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
7879,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
7879,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
7879,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,36
7879,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
7879,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
7879,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,C,0
7879,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,0
7879,1062,NIINA SECRETS DES COL 100ml,EUD,C,70
7879,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,C,55
7879,1080,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,BOT,E,6
7879,1113,COMB AROMATER STRESS,BOT,E,0
7879,1114,COMB AROMATER ENERG,BOT,E,0
7879,1116,COMB AROMATER CALMA,BOT,E,0
7879,1125,COMB EGEO DOLCE MAES NANICO,BOT,E,0
7879,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,C,1
7879,1160,GLAM BLUSH STCK MALVA 5g,EUD,C,4
7879,1192,GLAM BLUSH STCK GINGER 5g,EUD,C,5
7879,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
7879,1278,"GLAM MASC CILIO VOL INFINITY 8,5g",EUD,C,1
7879,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,4
7879,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,14
7879,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,19
7879,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,B,27
7879,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,B,5
7879,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,C,3
7879,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,9
7879,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,B,4
7879,1454,"GLAM PLT SOMBRA ESSENTIAL 5,85g",EUD,E,0
7879,1478,COMB SIAGE REMOVE OLEOSIDADE SHAMP/COND,EUD,E,0
7879,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,33
7879,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,E,14
7879,1638,COMB SIAGE MEN POMAD/SHAMP FORCA,EUD,E,0
7879,1639,COMB SIAGE MEN POMAD/SHAMP ANTICASPA,EUD,E,0
7879,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,1
7879,1641,SIAGE SHAMP HAIR/PLAS 250ml,EUD,A,13
7879,1642,COMB INSTANCE BAUN MINI LOC/SAB,EUD,E,0
7879,1643,COMB EUD SENS VELV CREM/SAB LIQ,EUD,E,0
7879,1644,SIAGE MASC CAP HIALUR HAIR/PLAS 250g,EUD,A,14
7879,1648,CJ SCH SIAGE HAIR/PLAS 3x7ml VDA,EUD,C,0
7879,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,4
7879,1652,COMB EUD MISS FLORALE CREM MAOS/LOC CPO,EUD,E,0
