PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
22984,1004,52493,FLORATTA DES COL MY BLUE 75ml,28,Descontinuado,BOT
22984,1006,-,FLORATTA LOC DES HID CPO MY BLUE 200ml,1,Descontinuado,BOT
22984,1080,-,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,6,Descontinuado,BOT
22984,1624,-,NSPA SHAMP MORANGO RUBY 300ml,1,Descontinuado,BOT
22984,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,2,Descontinuado,BOT
22984,1676,87051,NSPA OL MULTIF AMEIXA 85ml,3,Descontinuado,BOT
22984,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,3,Descontinuado,BOT
22984,1685,-,NSPA OL MULTIF ROSE 85ml,3,Descontinuado,BOT
22984,1703,-,NSPA OL CPO JASMIM SAMBAC 85ml,2,Descontinuado,BOT
22984,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
22984,25458,48310,FLORATTA DES COL BLUE 75ml,69,Descontinuado,BOT
22984,27856,53427,MAKE B DELINEADOR LIQ P/OLHOS PRETO,1,Descontinuado,BOT
22984,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,5,Descontinuado,BOT
22984,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,7,Descontinuado,BOT
22984,30192,54101,MALBEC DES COL X 100ml,28,Descontinuado,BOT
22984,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,3,Descontinuado,BOT
22984,36486,58528,ESTJ FLORATTA BLUE REG/22,1,Descontinuado,BOT
22984,38479,-,BOT PINCEL SOMB CONCAVO IND V3,3,Descontinuado,BOT
22984,38480,-,BOT PINCEL DELINEAR SOMB BOCA IND V4,2,Descontinuado,BOT
22984,38481,-,BOT PINCEL SOMB ESPONJA IND V4,8,Descontinuado,BOT
22984,40084,-,MAKE B PINCEL PO,1,Descontinuado,BOT
22984,40086,-,MAKE B PINCEL BLUSH,2,Descontinuado,BOT
22984,40088,-,MAKE B PINCEL APLICAR SOMBRA,32,Descontinuado,BOT
22984,41544,-,N/SPA BANHEIRINHA TRANSP EM PS,1,Descontinuado,BOT
22984,41623,-,MAKE B PINCEL BASE LIQUIDA,1,Descontinuado,BOT
22984,41624,-,MAKE B PINCEL CONTORNO FACIAL,1,Descontinuado,BOT
22984,41625,-,MAKE B PINCEL DUPLO OLHOS CHANFRADO,3,Descontinuado,BOT
22984,41996,-,MAKE B CURVADOR DE CILIOS EM METAL,1,Descontinuado,BOT
22984,42072,-,N/SPA NECESSAIRE ONDAS EM ALGODAO S/A,1,Descontinuado,BOT
22984,42111,-,CAPINHA MORANGUINHO EM SILICONE,1,Descontinuado,BOT
22984,42512,-,MAKE B PORTA PINCEIS METALIZADO PU,1,Descontinuado,BOT
22984,42857,-,NSPA NECESS DUPLA LISTRAS PVC S/ALC,1,Descontinuado,BOT
22984,42993,-,DR BOTICA MOCHI POLIEST C/ALC,3,Descontinuado,BOT
22984,43355,-,BOTI MOLDE PARA BARBA ABS,1,Descontinuado,BOT
22984,43568,-,MAKE B MALET MAQ HOLOG ABS C/ALC,3,Descontinuado,BOT
22984,43785,56254,CBEM CAPINHA DELEITE SILICONE,2,Descontinuado,BOT
22984,43918,-,SOPHIE NECESS POMPOM PVC S/ALC,2,Descontinuado,BOT
22984,43932,-,MATCH ESCV P/MODELAR E ALISAR ABS,1,Descontinuado,BOT
22984,43951,-,SOPHIE ESCV DESEMBARACO ABS,3,Descontinuado,BOT
22984,43956,-,MATCH PENTE P/ CACHOS PP,1,Descontinuado,BOT
22984,43977,-,INTENSE ESPNJ LIMPEZA FACIAL SILICONE,1,Descontinuado,BOT
22984,44411,-,MAKE B PINC CONTORNO ANGULAR,2,Descontinuado,BOT
22984,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,1,Descontinuado,BOT
22984,44580,-,MAKE B PINC ESPIRAL P/PELE,1,Descontinuado,BOT
22984,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,34,Descontinuado,BOT
22984,44764,-,SOPHIE CJ PINC C/2 UN,0,Descontinuado,BOT
22984,44794,-,BOTI PORTA JOIA OFF WHITE PU,1,Descontinuado,BOT
22984,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,11,Descontinuado,BOT
22984,44805,-,MAKE B NECESS POMPOM LISTRAS PU S/A,2,Descontinuado,BOT
22984,44863,-,DR BOTICA MALETA METAL C/A,2,Descontinuado,BOT
22984,44864,-,INTENSE NECESS PRATICA PES S/A,1,Descontinuado,BOT
22984,44968,-,SOPHIE SABONETEIRA PP,2,Descontinuado,BOT
22984,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,2,Descontinuado,BOT
22984,45560,-,BOTI NECESS POA PRETA PU,1,Descontinuado,BOT
22984,45568,-,BOTI BABY CAPINHA FIDO AMARELA SILICONE,1,Descontinuado,BOT
22984,45957,-,BOTI BABY FIDO NECESS AMARELA PES,2,Descontinuado,BOT
22984,45972,-,CBEM NECESS AZUL LISTRAS PES,3,Descontinuado,BOT
22984,46467,-,CBEM NECESS BRCA BOA NOITE S/A PES,0,Descontinuado,BOT
22984,46893,-,MATCH NECESSAIRE C/VISOR PES,3,Descontinuado,BOT
22984,46902,-,ZAAD DES ANTIT AER EXPEDITION 75g,1,Descontinuado,BOT
22984,46948,-,ARBO SHW GEL CAB/CPO 75g,12,Descontinuado,BOT
22984,47166,-,MEN DES ANTIT CR CLIN ULTRA PROTECT 50g,11,Descontinuado,BOT
22984,47235,50395,BOTI SUN PROT SOL CPO FPS 30 200g,4,Descontinuado,BOT
22984,47299,-,NSPA COND SOLIDO 75g,3,Descontinuado,BOT
22984,47300,-,NSPA SHAMP SLD AMEI 90g,3,Descontinuado,BOT
22984,47552,88022,BOTICA 214 EDP FOUG AROM VER/FIRENZ 90ml,9,Descontinuado,BOT
22984,47594,47963,BOTI SUN PROT CPO FPS 50 200g,5,Descontinuado,BOT
22984,47630,88019,BOTICA 214 EDP DARK MINT 90ml V2,4,Descontinuado,BOT
22984,47635,-,BOTICA 214 CR AC DES HID CPO V/FIR 200g,0,Descontinuado,BOT
22984,47777,-,BOTI BABY SAB LIQ CAB/PES NAN/NEN 200ml,3,Descontinuado,BOT
22984,47782,-,BOTI BABY COL NAN/NEN 100ml,5,Descontinuado,BOT
22984,47809,-,CBEM LOC DES HID CPO NETFLIX 50ml PRM,6,Descontinuado,BOT
22984,47852,-,ARBO DES SPR FOREST 100ml,1,Descontinuado,BOT
22984,47911,51244,QUASAR DES COL 100ml V3,7,Descontinuado,BOT
22984,47913,-,MATCH COND RESP/CACH 250ml V2,1,Descontinuado,BOT
22984,47951,58348,ZAAD EDP MONDO 95ml V3,11,Descontinuado,BOT
22984,47976,52817,CBEM SAB LIQ INT R/ALG 200ml,2,Descontinuado,BOT
22984,48020,57675,NSPA OLEO ACUC ESF CPO AMEI 200g V3,0,Descontinuado,BOT
22984,48022,52616,NSPA COND CVR 300ml V2,1,Descontinuado,BOT
22984,48100,59193,CBEM COND FEIRA BANANA 170ml,1,Descontinuado,BOT
22984,48130,84387,MALBEC DES COL 100ml V5,1,Descontinuado,BOT
22984,48136,48307,FLORATTA DES COL F/SECRET 75ml V2,62,Descontinuado,BOT
22984,48144,85606,INSENSATEZ DES COL 100ml V3,33,Descontinuado,BOT
22984,48200,59029,MALBEC CR P/BARB SENSIT CLUB 100g,9,Descontinuado,BOT
22984,48253,-,REF NSPA LOC DES HID CPO F/AMEI 400ml V2,13,Descontinuado,BOT
22984,48255,-,NSPA LOC DES HID CPO F/AMEI 200ml V5,2,Descontinuado,BOT
22984,48270,-,INTENSE BASE LIQ SUPFIX 75 25ml V3,1,Descontinuado,BOT
22984,48274,-,INTENSE BASE LIQ SUPFIX 10 25ml V3,1,Descontinuado,BOT
22984,48277,-,INTENSE BASE LIQ SUPFIX 15 25ml V3,1,Descontinuado,BOT
22984,48279,-,INTENSE BASE LIQ SUPFIX 40 25ml V3,5,Descontinuado,BOT
22984,48283,-,NSPA SAB LIQ CPO AMEI/NEG 200ml V2,16,Descontinuado,BOT
22984,48285,-,NSPA SAB LIQ CPO AMEI 200ml V3,6,Descontinuado,BOT
22984,48347,59494,DEM ELYSEE EDP BLANC 4ml V2,0,Descontinuado,BOT
22984,48362,-,MALBEC DES COL 50ml V4,0,Descontinuado,BOT
22984,48367,-,ZAAD DES ANTIT AER MONDO 75g V3,1,Descontinuado,BOT
22984,48522,-,MATCH LEAV CAP PROT/COR 150ml,2,Descontinuado,BOT
22984,48544,-,LILY BRUMA DES HID CPO LOVE 200ml V3,4,Descontinuado,BOT
22984,48546,51146,CBEM DES ROLL ON NUVEM 55ml V2,4,Descontinuado,BOT
22984,48547,49884,CBEM LOC DES HID CPO L/MEL 400ml V7,9,Descontinuado,BOT
22984,48613,-,CBEM CR DES HID CPO DELEITE 250g V2,4,Descontinuado,BOT
22984,48619,49887,REF CBEM LOC HID DES CPO NUVEM 400ml V2,11,Descontinuado,BOT
22984,48621,52507,FLORATTA EDP FLEUR D ECLIPSE 75ml,11,Descontinuado,BOT
22984,48622,-,FLORATTA EDP FLEUR D ECLIPSE 10ml PRM,7,Descontinuado,BOT
22984,48628,49888,CBEM LOC DES HID CPO NUVEM 400ml V2,1,Descontinuado,BOT
22984,48632,-,DREAM DES COL SPLSH AMOR NO AR 350ml V2,0,Descontinuado,BOT
22984,48635,48313,FLORATTA DES COL ROSE 75ml V3,3,Descontinuado,BOT
22984,48638,-,SOPHIE GEL FIX CAP WAKANDA 120g,4,Descontinuado,BOT
22984,48675,59516,REF NSPA LOC DES H CPO AMEI/NEG 400ml V2,6,Descontinuado,BOT
22984,48676,59517,REF NSPA LOC DES HID CPO AMEI 400ml V2,15,Descontinuado,BOT
22984,48687,-,MEN PROT FAC FPS 30 48ml V4,2,Descontinuado,BOT
22984,48701,-,EGEO DES COL BEAT 90ml V2,29,Descontinuado,BOT
22984,48731,49945,REF CBEM LOC HID DES CPO R/ALG 400ml V2,2,Descontinuado,BOT
