PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
21556,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",0,Descontinuado,EUD
21556,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
21556,1004,52493,FLORATTA DES COL MY BLUE 75ml,22,Descontinuado,BOT
21556,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
21556,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",2,Descontinuado,EUD
21556,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
21556,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,0,Descontinuado,EUD
21556,1160,-,GLAM BLUSH STCK MALVA 5g,7,Descontinuado,EUD
21556,1192,-,GLAM BLUSH STCK GINGER 5g,8,Descontinuado,EUD
21556,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,0,Descontinuado,EUD
21556,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,0,Descontinuado,EUD
21556,1278,-,"GLAM MASC CILIO VOL INFINITY 8,5g",1,Descontinuado,EUD
21556,12961,87807,EUD CR DES HID CPO INDUL 250g,6,Descontinuado,EUD
21556,12965,86749,EUD CR DES HID CPO RGE 250g V2,8,Descontinuado,EUD
21556,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",0,Descontinuado,EUD
21556,1676,87051,NSPA OL MULTIF AMEIXA 85ml,3,Descontinuado,BOT
21556,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,2,Descontinuado,BOT
21556,1685,-,NSPA OL MULTIF ROSE 85ml,1,Descontinuado,BOT
21556,1728,-,SIAGE BSTR CAP ACIDCOL HAIR/PLAS 100ml,4,Descontinuado,EUD
21556,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
21556,19814,-,EUD CR DES HID CPO DLX 250g V4,40,Descontinuado,EUD
21556,19815,86538,SOUL MASC CILIO VOL BOMB 10g,2,Descontinuado,EUD
21556,22023,-,INTENSE DES COL OOPSS 50ml,5,Descontinuado,BOT
21556,23291,-,CARBON ESPUMA BARBEAR TURBO 190g 200ml,0,Descontinuado,EUD
21556,23304,-,CARBON POS BARBA GEL CREM TURBO 75g,18,Descontinuado,EUD
21556,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
21556,25458,48310,FLORATTA DES COL BLUE 75ml,612,Descontinuado,BOT
21556,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
21556,29044,-,ESTOJO ACCORDES NATAL 2016,1,Descontinuado,BOT
21556,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,2,Descontinuado,BOT
21556,29528,-,MAKE B SOMB TRIO P/SOBRANC,1,Descontinuado,BOT
21556,30006,-,QDB BASE LIQ LEVANTA TUDO COR 02Q 30ml,3,Descontinuado,QDB
21556,30007,-,QDB BASE LIQ LEVANTA TUDO COR 03F 30ml,1,Descontinuado,QDB
21556,30010,-,QDB BASE LIQ LEVANTA TUDO COR 09Q 30ml,1,Descontinuado,QDB
21556,30015,-,QDB BASE LIQ LEVANTA TUDO COR 14N 30ml,1,Descontinuado,QDB
21556,30018,-,QDB BASE LIQ LEVANTA TUDO COR 15Q 30ml,1,Descontinuado,QDB
21556,30020,59763,QDB BASE LIQ LEVANTA TUDO INCOLOR 30ml,1,Descontinuado,QDB
21556,30178,-,GLAM ILUM STCK FAC LUMINOUS 5g,0,Descontinuado,EUD
21556,30192,54101,MALBEC DES COL X 100ml,5,Descontinuado,BOT
21556,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ml,1,Descontinuado,BOT
21556,33000,-,KIT PDV RESPEITE 2005 LJ LIGHT,1,Descontinuado,BOT
21556,33359,-,SACOLA P INST/21 VERDE STD MOD C/200,7,Descontinuado,BOT
21556,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
21556,37515,-,QDB PINCEL DELINEADOR,1,Descontinuado,QDB
21556,37516,-,QDB PINCEL SOMBRA,1,Descontinuado,QDB
21556,39437,-,QDB PINCEL SOBRANCELHA DUPLO,1,Descontinuado,QDB
21556,40084,-,MAKE B PINCEL PO,1,Descontinuado,BOT
21556,40086,-,MAKE B PINCEL BLUSH,2,Descontinuado,BOT
21556,40088,-,MAKE B PINCEL APLICAR SOMBRA,2,Descontinuado,BOT
21556,41544,-,N/SPA BANHEIRINHA TRANSP EM PS,2,Descontinuado,BOT
21556,41623,-,MAKE B PINCEL BASE LIQUIDA,2,Descontinuado,BOT
21556,41624,-,MAKE B PINCEL CONTORNO FACIAL,1,Descontinuado,BOT
21556,43355,-,BOTI MOLDE PARA BARBA ABS,1,Descontinuado,BOT
21556,43561,-,INTENSE CAPINHA BOCA P/ BATOM SILICONE,2,Descontinuado,BOT
21556,43566,-,MAKE B PINC ESCOVA BASE,2,Descontinuado,BOT
21556,43849,-,MAKE B PINC PIGM ROSE GOLD,1,Descontinuado,BOT
21556,43909,49922,BOTI BABY MOCHI MAT UNSX POL C/ALC,1,Descontinuado,BOT
21556,43944,-,NSPA ESPNJ DE BNH BICLR VERM PE,1,Descontinuado,BOT
