PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
18610,1004,52493,FLORATTA DES COL MY BLUE 75ml,38,Descontinuado,BOT
18610,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,1,Descontinuado,BOT
18610,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
18610,1676,87051,NSPA OL MULTIF AMEIXA 85ml,0,Descontinuado,BOT
18610,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,0,Descontinuado,BOT
18610,1685,-,NSPA OL MULTIF ROSE 85ml,1,Descontinuado,BOT
18610,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
18610,19737,28642,LILY SAB LIQ MAOS 200ml V2,2,Descontinuado,BOT
18610,21319,74096,GLAMOUR DES COL 75ml V5,2,Descontinuado,BOT
18610,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
18610,25458,48310,FLORATTA DES COL BLUE 75ml,135,Descontinuado,BOT
18610,25477,48142,FLORATTA DES COL CER/FLOR 75ml,40,Descontinuado,BOT
18610,27856,53427,MAKE B DELINEADOR LIQ P/OLHOS PRETO,8,Descontinuado,BOT
18610,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,1,Descontinuado,BOT
18610,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,0,Descontinuado,BOT
18610,30192,54101,MALBEC DES COL X 100ml,0,Descontinuado,BOT
18610,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,44,Descontinuado,BOT
18610,33359,-,SACOLA P INST/21 VERDE STD MOD C/200,10,Descontinuado,BOT
18610,34601,-,VAPORIZADOR DES COLONIA DOURADO C/10,7,Descontinuado,BOT
18610,36486,58528,ESTJ FLORATTA BLUE REG/22,1,Descontinuado,BOT
18610,38605,-,MAKE B CURVADOR CILIOS VDA,1,Descontinuado,BOT
18610,40058,-,REF CELEBRE DES BDY SPR FORCA 100ml,12,Descontinuado,BOT
18610,40088,-,MAKE B PINCEL APLICAR SOMBRA,2,Descontinuado,BOT
18610,40092,-,MAKE B PINCEL RETRATIL LABIOS,4,Descontinuado,BOT
18610,40093,-,MAKE B ESPNJ MAQ SILIESPONJA PU,6,Descontinuado,BOT
18610,41450,-,INTENSE NECESSAIRE PINK EM PVC S/ALCA,2,Descontinuado,BOT
18610,41623,-,MAKE B PINCEL BASE LIQUIDA,6,Descontinuado,BOT
18610,41624,-,MAKE B PINCEL CONTORNO FACIAL,5,Descontinuado,BOT
18610,41981,-,BOTI TAPETINHO LIMPA PINCEIS,4,Descontinuado,BOT
18610,41996,-,MAKE B CURVADOR DE CILIOS EM METAL,2,Descontinuado,BOT
18610,42111,-,CAPINHA MORANGUINHO EM SILICONE,1,Descontinuado,BOT
18610,42223,-,CAPINHA ROSA E ALGODAO EM SILICONE,3,Descontinuado,BOT
18610,43352,-,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,1,Descontinuado,BOT
