PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
12772,1004,52493,FLORATTA DES COL MY BLUE 75ml,4,Descontinuado,BOT
12772,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
12772,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,28,Descontinuado,BOT
12772,1676,87051,NSPA OL MULTIF AMEIXA 85ml,1,Descontinuado,BOT
12772,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,6,Descontinuado,BOT
12772,1685,-,NSPA OL MULTIF ROSE 85ml,2,Descontinuado,BOT
12772,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
12772,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
12772,25458,48310,FLORATTA DES COL BLUE 75ml,82,Descontinuado,BOT
12772,27856,53427,MAKE B DELINEADOR LIQ P/OLHOS PRETO,2,Descontinuado,BOT
12772,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,5,Descontinuado,BOT
12772,28813,48141,ACCORDES DES COL 80ml V4,5,Descontinuado,BOT
12772,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,0,Descontinuado,BOT
12772,30192,54101,MALBEC DES COL X 100ml,12,Descontinuado,BOT
12772,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,10,Descontinuado,BOT
12772,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
12772,38480,-,BOT PINCEL DELINEAR SOMB BOCA IND V4,1,Descontinuado,BOT
12772,40058,-,REF CELEBRE DES BDY SPR FORCA 100ml,10,Descontinuado,BOT
12772,40088,-,MAKE B PINCEL APLICAR SOMBRA,0,Descontinuado,BOT
12772,40092,-,MAKE B PINCEL RETRATIL LABIOS,1,Descontinuado,BOT
12772,41449,-,INTENSE PORTA BATOM PINK EM PAPEL,1,Descontinuado,BOT
12772,41544,-,N/SPA BANHEIRINHA TRANSP EM PS,1,Descontinuado,BOT
12772,41623,-,MAKE B PINCEL BASE LIQUIDA,2,Descontinuado,BOT
12772,41625,-,MAKE B PINCEL DUPLO OLHOS CHANFRADO,1,Descontinuado,BOT
12772,41996,-,MAKE B CURVADOR DE CILIOS EM METAL,1,Descontinuado,BOT
12772,42111,-,CAPINHA MORANGUINHO EM SILICONE,5,Descontinuado,BOT
12772,42223,-,CAPINHA ROSA E ALGODAO EM SILICONE,3,Descontinuado,BOT
12772,43566,-,MAKE B PINC ESCOVA BASE,8,Descontinuado,BOT
12772,43785,56254,CBEM CAPINHA DELEITE SILICONE,2,Descontinuado,BOT
12772,43939,-,MATCH ESCV PARA DESEMBARACAR ABS,2,Descontinuado,BOT
12772,43977,-,INTENSE ESPNJ LIMPEZA FACIAL SILICONE,1,Descontinuado,BOT
12772,44410,-,MAKE B PINC LEQUE,1,Descontinuado,BOT
12772,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,2,Descontinuado,BOT
12772,44580,-,MAKE B PINC ESPIRAL P/PELE,5,Descontinuado,BOT
12772,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,3,Descontinuado,BOT
12772,44764,-,SOPHIE CJ PINC C/2 UN,1,Descontinuado,BOT
12772,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,6,Descontinuado,BOT
12772,44851,-,MAKE B ESTJ P/SOBRANCELHAS,2,Descontinuado,BOT
12772,44865,56841,BOTI BANHEIRINHA TRANSP PS,0,Descontinuado,BOT
12772,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,4,Descontinuado,BOT
12772,45553,-,INTENSE TOALHA DEMAQ ROXA PES,1,Descontinuado,BOT
12772,46370,-,MAKE B KIT PINCEIS MAES/21,1,Descontinuado,BOT
12772,46467,-,CBEM NECESS BRCA BOA NOITE S/A PES,0,Descontinuado,BOT
12772,46895,-,BOTI MASSAG CPO PP,8,Descontinuado,BOT
12772,46948,-,ARBO SHW GEL CAB/CPO 75g,7,Descontinuado,BOT
12772,47173,-,EGEO CARTCH PRES BLUE,1,Descontinuado,BOT
12772,47174,-,EGEO CARTCH PRES CHOC,2,Descontinuado,BOT
12772,47235,50395,BOTI SUN PROT SOL CPO FPS 30 200g,0,Descontinuado,BOT
12772,47412,-,INTENSE NECESSAIRE PU S/ALC,0,Descontinuado,BOT
12772,47552,88022,BOTICA 214 EDP FOUG AROM VER/FIRENZ 90ml,15,Descontinuado,BOT
12772,47594,47963,BOTI SUN PROT CPO FPS 50 200g,0,Descontinuado,BOT
12772,47595,52342,BOTI SUN PROT CPO FPS 70 200g,7,Descontinuado,BOT
12772,47630,88019,BOTICA 214 EDP DARK MINT 90ml V2,0,Descontinuado,BOT
12772,47635,-,BOTICA 214 CR AC DES HID CPO V/FIR 200g,0,Descontinuado,BOT
