PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
24603,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",0,Descontinuado,EUD
24603,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
24603,1004,52493,FLORATTA DES COL MY BLUE 75ml,70,Descontinuado,BOT
24603,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
24603,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",0,Descontinuado,EUD
24603,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
24603,1063,-,DEM NIINA SECRETS DES COL 4ml,0,Descontinuado,EUD
24603,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,0,Descontinuado,EUD
24603,1160,-,GLAM BLUSH STCK MALVA 5g,1,Descontinuado,EUD
24603,1192,-,GLAM BLUSH STCK GINGER 5g,1,Descontinuado,EUD
24603,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,0,Descontinuado,EUD
24603,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
24603,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,0,Descontinuado,EUD
24603,1246,-,GLAM ESMLT AZUL CARBONO 7ml,0,Descontinuado,EUD
24603,12597,-,"SOUL BALM LIQ JEL FRESH MOR/TENT 7,5ml",2,Descontinuado,EUD
24603,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
24603,12965,86749,EUD CR DES HID CPO RGE 250g V2,7,Descontinuado,EUD
24603,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",0,Descontinuado,EUD
24603,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
24603,1676,87051,NSPA OL MULTIF AMEIXA 85ml,29,Descontinuado,BOT
24603,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,40,Descontinuado,BOT
24603,17552,-,DEM/V CARBON DES COL 4ml,0,Descontinuado,EUD
24603,17840,49570,IMPRESSION GEL CREME POS BARBA  75g,2,Descontinuado,EUD
24603,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
24603,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
24603,19815,86538,SOUL MASC CILIO VOL BOMB 10g,0,Descontinuado,EUD
24603,22023,-,INTENSE DES COL OOPSS 50ml,13,Descontinuado,BOT
24603,23291,-,CARBON ESPUMA BARBEAR TURBO 190g 200ml,3,Descontinuado,EUD
24603,23304,-,CARBON POS BARBA GEL CREM TURBO 75g,8,Descontinuado,EUD
24603,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
24603,25458,48310,FLORATTA DES COL BLUE 75ml,794,Descontinuado,BOT
24603,26401,-,MAKE B PRIMER OLH V2,1,Descontinuado,BOT
24603,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
24603,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,0,Descontinuado,BOT
24603,30006,-,QDB BASE LIQ LEVANTA TUDO COR 02Q 30ml,4,Descontinuado,QDB
24603,30007,-,QDB BASE LIQ LEVANTA TUDO COR 03F 30ml,4,Descontinuado,QDB
24603,30009,-,QDB BASE LIQ LEVANTA TUDO COR 03Q 30ml,4,Descontinuado,QDB
24603,30015,-,QDB BASE LIQ LEVANTA TUDO COR 14N 30ml,1,Descontinuado,QDB
24603,30016,-,QDB BASE LIQ LEVANTA TUDO COR 06Q 30ml,3,Descontinuado,QDB
24603,30017,-,QDB BASE LIQ LEVANTA TUDO COR 07N 30ml,2,Descontinuado,QDB
24603,30178,-,GLAM ILUM STCK FAC LUMINOUS 5g,0,Descontinuado,EUD
24603,30192,54101,MALBEC DES COL X 100ml,43,Descontinuado,BOT
24603,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,8,Descontinuado,BOT
24603,3219,-,OUI EDP FLEURS ETERNELLES LHYSOPE 75ML,3,Descontinuado,BOT
24603,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ml,2,Descontinuado,BOT
24603,34601,-,VAPORIZADOR DES COLONIA DOURADO C/10,10,Descontinuado,BOT
24603,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
24603,38174,-,BOT PINCEL BOCA RETR IND V2,1,Descontinuado,BOT
24603,38476,-,BOT PINCEL FAN IND V3,4,Descontinuado,BOT
