PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
22053,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",0,Descontinuado,EUD
22053,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
22053,1004,52493,FLORATTA DES COL MY BLUE 75ml,34,Descontinuado,BOT
22053,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
22053,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",3,Descontinuado,EUD
22053,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",1,Descontinuado,EUD
22053,1128,-,GLAM BALM NANO 3D GOIABA 3g,2,Descontinuado,EUD
22053,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,4,Descontinuado,EUD
22053,1160,-,GLAM BLUSH STCK MALVA 5g,5,Descontinuado,EUD
22053,1192,-,GLAM BLUSH STCK GINGER 5g,8,Descontinuado,EUD
22053,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,1,Descontinuado,EUD
22053,12961,87807,EUD CR DES HID CPO INDUL 250g,19,Descontinuado,EUD
22053,12965,86749,EUD CR DES HID CPO RGE 250g V2,15,Descontinuado,EUD
22053,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",0,Descontinuado,EUD
22053,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,11,Descontinuado,BOT
22053,1676,87051,NSPA OL MULTIF AMEIXA 85ml,0,Descontinuado,BOT
22053,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,2,Descontinuado,BOT
22053,1728,-,SIAGE BSTR CAP ACIDCOL HAIR/PLAS 100ml,19,Descontinuado,EUD
22053,17761,-,CARBON POS BARBA BALM 75g,4,Descontinuado,EUD
22053,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
22053,19811,-,EUD CR DES HID CPO UNIQ 250g V2,4,Descontinuado,EUD
22053,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
22053,19815,86538,SOUL MASC CILIO VOL BOMB 10g,19,Descontinuado,EUD
22053,22023,-,INTENSE DES COL OOPSS 50ml,11,Descontinuado,BOT
22053,23291,-,CARBON ESPUMA BARBEAR TURBO 190g 200ml,4,Descontinuado,EUD
22053,23304,-,CARBON POS BARBA GEL CREM TURBO 75g,4,Descontinuado,EUD
22053,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
22053,25458,48310,FLORATTA DES COL BLUE 75ml,98,Descontinuado,BOT
22053,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
22053,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,10,Descontinuado,BOT
22053,29807,-,MAKE B SPR FIX MAQ ROSTO 75ml/40g,7,Descontinuado,BOT
22053,30000,55991,"QDB BAT VOLUMAO LIQ TAMARALI 5,5ml",2,Descontinuado,QDB
22053,30008,-,QDB BASE LIQ LEVANTA TUDO COR 10N 30ml,3,Descontinuado,QDB
22053,30009,-,QDB BASE LIQ LEVANTA TUDO COR 03Q 30ml,3,Descontinuado,QDB
22053,30017,-,QDB BASE LIQ LEVANTA TUDO COR 07N 30ml,2,Descontinuado,QDB
22053,30084,55994,"QDB BAT LIQ VOLUMAO ROSELI 5,5ml",1,Descontinuado,QDB
22053,30178,-,GLAM ILUM STCK FAC LUMINOUS 5g,5,Descontinuado,EUD
22053,30192,54101,MALBEC DES COL X 100ml,79,Descontinuado,BOT
22053,3219,-,OUI EDP FLEURS ETERNELLES LHYSOPE 75ML,2,Descontinuado,BOT
22053,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ml,1,Descontinuado,BOT
22053,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
22053,3724,-,INSTANCE DEO COL HARMONIA 50ml,4,Descontinuado,EUD
22053,37515,-,QDB PINCEL DELINEADOR,1,Descontinuado,QDB
22053,37516,-,QDB PINCEL SOMBRA,1,Descontinuado,QDB
22053,3809,-,INSTANCE LOC D H CPO CASTANHAR/CAS 200ml,1,Descontinuado,EUD
22053,38480,-,BOT PINCEL DELINEAR SOMB BOCA IND V4,1,Descontinuado,BOT
22053,39437,-,QDB PINCEL SOBRANCELHA DUPLO,1,Descontinuado,QDB
22053,40086,-,MAKE B PINCEL BLUSH,2,Descontinuado,BOT
22053,40093,-,MAKE B ESPNJ MAQ SILIESPONJA PU,7,Descontinuado,BOT
22053,41544,-,N/SPA BANHEIRINHA TRANSP EM PS,1,Descontinuado,BOT
22053,41624,-,MAKE B PINCEL CONTORNO FACIAL,2,Descontinuado,BOT
22053,41996,-,MAKE B CURVADOR DE CILIOS EM METAL,3,Descontinuado,BOT
22053,43355,-,BOTI MOLDE PARA BARBA ABS,3,Descontinuado,BOT
22053,43848,-,MAKE B PINC KABUKI RETR ROSE GOLD,1,Descontinuado,BOT
22053,43849,-,MAKE B PINC PIGM ROSE GOLD,1,Descontinuado,BOT
22053,43934,-,MATCH ESCV P/MODELAR 3D ABS,1,Descontinuado,BOT
22053,43945,-,MAKE B ESPNJ KONJAC,1,Descontinuado,BOT
22053,43951,-,SOPHIE ESCV DESEMBARACO ABS,3,Descontinuado,BOT
22053,43956,-,MATCH PENTE P/ CACHOS PP,2,Descontinuado,BOT
22053,44407,-,INTENSE MINI ESPONJAS MAQUIAGEM,1,Descontinuado,BOT
22053,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,4,Descontinuado,BOT
22053,44580,-,MAKE B PINC ESPIRAL P/PELE,1,Descontinuado,BOT
22053,44678,-,MATCH PUMP P/SHAMP COND 1000ml,2,Descontinuado,BOT
22053,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,5,Descontinuado,BOT
22053,44764,-,SOPHIE CJ PINC C/2 UN,4,Descontinuado,BOT
22053,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,13,Descontinuado,BOT
22053,44863,-,DR BOTICA MALETA METAL C/A,1,Descontinuado,BOT
22053,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,4,Descontinuado,BOT
22053,45511,-,NECESS GLAMOUR SEC BL PES VDA,2,Descontinuado,BOT
22053,45544,-,NSPA ESPNJ VERDE KONJAC,2,Descontinuado,BOT
22053,45552,-,INTENSE NECESS TRIANGULAR PES,1,Descontinuado,BOT
22053,45553,-,INTENSE TOALHA DEMAQ ROXA PES,1,Descontinuado,BOT
22053,45972,-,CBEM NECESS AZUL LISTRAS PES,2,Descontinuado,BOT
