PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
20115,1004,52493,FLORATTA DES COL MY BLUE 75ml,23,Descontinuado,BOT
20115,1006,-,FLORATTA LOC DES HID CPO MY BLUE 200ml,1,Descontinuado,BOT
20115,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
20115,1633,-,NSPA COND MORANGO RUBY 300ML,5,Descontinuado,BOT
20115,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
20115,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,71,Descontinuado,BOT
20115,1676,87051,NSPA OL MULTIF AMEIXA 85ml,0,Descontinuado,BOT
20115,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,1,Descontinuado,BOT
20115,1703,-,NSPA OL CPO JASMIM SAMBAC 85ml,2,Descontinuado,BOT
20115,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
20115,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
20115,24842,-,FLAC COFFEE MAN DES COL 4ml VE,5,Descontinuado,BOT
20115,25458,48310,FLORATTA DES COL BLUE 75ml,90,Descontinuado,BOT
20115,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
20115,28813,48141,ACCORDES DES COL 80ml V4,3,Descontinuado,BOT
20115,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,6,Descontinuado,BOT
20115,30192,54101,MALBEC DES COL X 100ml,15,Descontinuado,BOT
20115,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,11,Descontinuado,BOT
20115,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ML,0,Descontinuado,BOT
20115,36486,58528,ESTJ FLORATTA BLUE REG/22,2,Descontinuado,BOT
20115,39416,-,MAKE B PINCEL BASE T/C,2,Descontinuado,BOT
