PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
24601,1004,52493,FLORATTA DES COL MY BLUE 75ml,15,Descontinuado,BOT
24601,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
24601,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
24601,1676,87051,NSPA OL MULTIF AMEIXA 85ml,2,Descontinuado,BOT
24601,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,0,Descontinuado,BOT
24601,1685,-,NSPA OL MULTIF ROSE 85ml,2,Descontinuado,BOT
24601,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
24601,22023,-,INTENSE DES COL OOPSS 50ml,2,Descontinuado,BOT
24601,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
24601,25458,48310,FLORATTA DES COL BLUE 75ml,15,Descontinuado,BOT
24601,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
24601,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,0,Descontinuado,BOT
24601,30192,54101,MALBEC DES COL X 100ml,0,Descontinuado,BOT
24601,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ML,0,Descontinuado,BOT
24601,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
24601,36739,-,NSPA TRAVESSEIRO INFLAVEL PLAST PESCOCO,1,Descontinuado,BOT
24601,38481,-,BOT PINCEL SOMB ESPONJA IND V4,1,Descontinuado,BOT
24601,38605,-,MAKE B CURVADOR CILIOS VDA,1,Descontinuado,BOT
24601,40037,-,BOLSA ENVELOPE PU S/A MAKE B. UNIVER 15,1,Descontinuado,BOT
24601,40092,-,MAKE B PINCEL RETRATIL LABIOS,2,Descontinuado,BOT
24601,40410,-,KIT CBEM VERAO PVC 15,1,Descontinuado,BOT
24601,41449,-,INTENSE PORTA BATOM PINK EM PAPEL,1,Descontinuado,BOT
24601,43345,-,CBEM MASSAG CORPORAL PP,1,Descontinuado,BOT
24601,43849,-,MAKE B PINC PIGM ROSE GOLD,1,Descontinuado,BOT
24601,43909,49922,BOTI BABY MOCHI MAT UNSX POL C/ALC,1,Descontinuado,BOT
24601,43912,-,DR BOTICA MOCHILA FIDO POLIESTER C/ALC,2,Descontinuado,BOT
24601,44411,-,MAKE B PINC CONTORNO ANGULAR,1,Descontinuado,BOT
24601,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,3,Descontinuado,BOT
24601,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,0,Descontinuado,BOT
24601,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,5,Descontinuado,BOT
24601,44801,-,CBEM BOLSA VERAO PES C/A,1,Descontinuado,BOT
