PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
17788,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",1,Descontinuado,EUD
17788,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",24,Descontinuado,EUD
17788,1004,52493,FLORATTA DES COL MY BLUE 75ml,113,Descontinuado,BOT
17788,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
17788,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",0,Descontinuado,EUD
17788,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
17788,1063,-,DEM NIINA SECRETS DES COL 4ml,0,Descontinuado,EUD
17788,1080,-,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,101,Descontinuado,BOT
17788,10972,21616,MAKE B SOMB PO QUARTT TERRA BRNZ,2,Descontinuado,BOT
17788,11296,-,MAMIE BELLA OLEO VEGT PREV ESTRI 200ml,2,Descontinuado,BOT
17788,11544,-,NSPA SAB ESF A/MAR 200ml,2,Descontinuado,BOT
17788,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,112,Descontinuado,EUD
17788,11597,-,INTENSE SOMB COR 15,1,Descontinuado,BOT
17788,1160,-,GLAM BLUSH STCK MALVA 5g,25,Descontinuado,EUD
17788,11601,-,INTENSE SOMB COR 24,2,Descontinuado,BOT
17788,11627,-,INTENSE PO COMP COR 2,1,Descontinuado,BOT
17788,11724,-,CONNEXION WOODS POS BARBA 110g,2,Descontinuado,BOT
17788,1192,-,GLAM BLUSH STCK GINGER 5g,78,Descontinuado,EUD
17788,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,9,Descontinuado,EUD
17788,12074,-,X BOY SAB BARRA 2x80g,3,Descontinuado,BOT
17788,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
17788,12284,-,NEUTRALIS DES ANTIT ROLL S/F 55ml V3,5,Descontinuado,BOT
17788,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,14,Descontinuado,EUD
17788,1246,-,GLAM ESMLT AZUL CARBONO 7ML,0,Descontinuado,EUD
17788,1249,-,"GLAM LAP GEL P/OLH PRETO 1,2g",4,Descontinuado,EUD
17788,12531,-,MAKE B BAT PERFEITO ROSA CANELA,1,Descontinuado,BOT
17788,12539,-,MAKE B BRILHO STAR LIP LAB LIGHT RED,2,Descontinuado,BOT
17788,12595,21653,MAKE B BLUSH SOFT ROSA DIURNO,2,Descontinuado,BOT
17788,12606,-,REF MAKE B PO COMP BEGE CANELA,4,Descontinuado,BOT
17788,12612,-,MAKE B CORRET FAC LIQ BEGE NUD,3,Descontinuado,BOT
17788,12644,-,MAKE B SOMB QUARTETO FRESH,1,Descontinuado,BOT
17788,12646,-,MAKE B SOMB QUARTETO LUMIERE,1,Descontinuado,BOT
17788,12647,-,REF MAKE B SOMB PO QUARTT TERRA BRNZ,1,Descontinuado,BOT
17788,12685,-,MAKE B BASE LIQ ALTA DEF LUMINOSA CLARA,2,Descontinuado,BOT
17788,12686,-,MAKE B BASE LIQ ALTA DEF LUMINOSA MORENA,1,Descontinuado,BOT
17788,1278,-,"GLAM MASC CILIO VOL INFINITY 8,5g",1,Descontinuado,EUD
17788,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
17788,12965,86749,EUD CR DES HID CPO RGE 250g V2,12,Descontinuado,EUD
17788,13068,-,BOT MEN TONICO CAPILAR ANTIQUEDA 50ml V2,2,Descontinuado,BOT
17788,13645,-,ACQ DI COL CITRICO 250ml V2,2,Descontinuado,BOT
17788,13813,-,MAKE B BASE LIQ ANTI AGING BEGE CL 22,1,Descontinuado,BOT
17788,13831,-,MAKE B SOMB ANTI AGING CREME SALMAO,1,Descontinuado,BOT
17788,13833,-,MAKE B SOMB ANTI AGING CREME BRONZE,1,Descontinuado,BOT
17788,13841,-,MAKE B SOMB ANTI AGING CREME GRAFITTE,1,Descontinuado,BOT
17788,14309,-,NSPA SHAMPOO CEREJA 400ml,2,Descontinuado,BOT
17788,14314,-,NSPA COND CEREJA 250ml,1,Descontinuado,BOT
17788,14320,-,NSPA LOC CAP BLUEB 4x15ml,2,Descontinuado,BOT
17788,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",0,Descontinuado,EUD
17788,14661,-,COFFEE SAB BARRA WOMAN 2x90g,1,Descontinuado,BOT
17788,14739,-,CONNEXION DES ANTIT ROLL 55 ml V2,3,Descontinuado,BOT
17788,14749,-,MYRIAD DES ANTIT ROLL 55ml V2,4,Descontinuado,BOT
17788,14951,-,COFFE WOMAN DES ANTIT ROLL 55ml,1,Descontinuado,BOT
17788,15140,-,MAKE B ESMALTE FUCHSIA PURPLE,1,Descontinuado,BOT
17788,15143,-,MAKE B ESMALTE LILAC CREAM,1,Descontinuado,BOT
17788,15144,-,MAKE B ESMALTE JUICY CORAL,3,Descontinuado,BOT
17788,15594,-,NSPA COND A/SAN 250ml,1,Descontinuado,BOT
17788,15660,-,NSPA CREM CAP S/ENXG J/C/P 150g,1,Descontinuado,BOT
17788,15947,-,ACQ DES COL QUE ALEGRIA 250ml,3,Descontinuado,BOT
17788,16294,-,NSPA MASC CAP HID CEREJA 250g,2,Descontinuado,BOT
17788,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
17788,16627,-,ZAAD EXCLUSIVE EDP 95ml,4,Descontinuado,BOT
17788,16631,-,EGEO DES COL PROVOKE WOMAN 100ml,1,Descontinuado,BOT
17788,16633,-,ESTJ NSPA SECRETARIAS PROFESSORES 2012,2,Descontinuado,BOT
17788,16672,-,ESTJ PROVOKE COL HOT COLD SENSAT NAM2012,2,Descontinuado,BOT
17788,16681,-,ESTJ FLORATTA SUCESSOS NAT/12,2,Descontinuado,BOT
17788,16699,-,ESTJ NSPA BLUEBERRY NAT/12,4,Descontinuado,BOT
17788,16719,-,ESTJ CAPRICHO MINI LAP OLHO VINTAGE,2,Descontinuado,BOT
17788,16729,-,CAPRICHO MASC CILIOS VINTAGE LADY PURPLE,1,Descontinuado,BOT
17788,16747,-,NSPA LOC HID DES CPO ARGILA 400ml,8,Descontinuado,BOT
17788,1676,87051,NSPA OL MULTIF AMEIXA 85ml,6,Descontinuado,BOT
17788,16772,-,CBEM LOC HID DES CPO ERVA D 100ml VD,6,Descontinuado,BOT
17788,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,5,Descontinuado,BOT
17788,1685,-,NSPA OL MULTIF ROSE 85ml,20,Descontinuado,BOT
17788,16855,-,CBEM SAB LIQ ANTIBACTERIA ERVA D 250ml,1,Descontinuado,BOT
17788,16876,-,REF CBEM LOC HID DES CPO BAUN 400ml V3,11,Descontinuado,BOT
17788,16908,-,ESTJ CAPRICHO BASICO MAQ DAY NIGHT,1,Descontinuado,BOT
17788,16909,-,CAPRICHO SOMB CREMOSA VINTAGE GRAFITTE,1,Descontinuado,BOT
17788,16910,-,CAPRICHO SOMB CREM VINTAGE ROSA RETRO,2,Descontinuado,BOT
17788,16939,-,MAKE B BAT FASHION PERF NY STYLE RED,1,Descontinuado,BOT
17788,16943,-,MAKE B BRILHO LAB FASHION NY STYLE RED,1,Descontinuado,BOT
17788,16945,-,MAKE B BRILHO LAB FSH LIGHTS TREND ROSE,1,Descontinuado,BOT
17788,16990,-,MAKE B ESMALTE MS OCEAN DRIVE GREEN,1,Descontinuado,BOT
17788,16991,-,MAKE B ESMALTE MS OCEAN DRIVE BLUE,1,Descontinuado,BOT
17788,16992,-,MAKE B ESMALTE MS OCEAN DRIVE ORANGE,1,Descontinuado,BOT
