PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
12043,1004,52493,FLORATTA DES COL MY BLUE 75ml,54,Descontinuado,BOT
12043,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
12043,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
12043,1676,87051,NSPA OL MULTIF AMEIXA 85ml,1,Descontinuado,BOT
12043,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,4,Descontinuado,BOT
12043,1685,-,NSPA OL MULTIF ROSE 85ml,2,Descontinuado,BOT
12043,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
12043,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
12043,25458,48310,FLORATTA DES COL BLUE 75ml,85,Descontinuado,BOT
12043,25682,-,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,1,Descontinuado,BOT
12043,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
12043,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,19,Descontinuado,BOT
12043,29807,-,MAKE B SPR FIX MAQ ROSTO 75ml/40g,1,Descontinuado,BOT
12043,30192,54101,MALBEC DES COL X 100ml,16,Descontinuado,BOT
12043,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,1,Descontinuado,BOT
12043,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ML,0,Descontinuado,BOT
12043,32978,-,NSPA PANTUFA,1,Descontinuado,BOT
12043,36033,-,FUN MILK MEIA/09 PRM,3,Descontinuado,BOT
12043,36068,-,BOT COLECAO BELEZA PORTA ALIMENTO ADULTO,2,Descontinuado,BOT
12043,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
12043,37222,-,CAIXA DECORADA DIM 2012,1,Descontinuado,BOT
12043,38268,-,INTENSE ORGANIZADOR BAT PAP CART,4,Descontinuado,BOT
12043,38479,-,BOT PINCEL SOMB CONCAVO IND V3,5,Descontinuado,BOT
12043,38480,-,BOT PINCEL DELINEAR SOMB BOCA IND V4,14,Descontinuado,BOT
12043,38481,-,BOT PINCEL SOMB ESPONJA IND V4,7,Descontinuado,BOT
12043,38502,-,MAKE B APLICADOR CILIOS POSTICOS R/S,12,Descontinuado,BOT
12043,38958,-,MAKE B APLICADOR CILIOS POST DG SUP,3,Descontinuado,BOT
12043,40031,-,MAKE B APLICADOR CILIOS POST PLCB 2015,3,Descontinuado,BOT
12043,40086,-,MAKE B PINCEL BLUSH,1,Descontinuado,BOT
12043,40088,-,MAKE B PINCEL APLICAR SOMBRA,3,Descontinuado,BOT
12043,40092,-,MAKE B PINCEL RETRATIL LABIOS,2,Descontinuado,BOT
12043,40133,-,BOLSA MAO FECHO BOCA PVC S/A 2015,1,Descontinuado,BOT
12043,40801,-,PRENDEDOR CANGA EM PP CUIDE-SE BEM 2015,4,Descontinuado,BOT
12043,41291,-,PETIT SOPHIE PINCEL DE BLUSH VS2,4,Descontinuado,BOT
12043,41450,-,INTENSE NECESSAIRE PINK EM PVC S/ALCA,1,Descontinuado,BOT
12043,41623,-,MAKE B PINCEL BASE LIQUIDA,4,Descontinuado,BOT
12043,41624,-,MAKE B PINCEL CONTORNO FACIAL,3,Descontinuado,BOT
12043,41625,-,MAKE B PINCEL DUPLO OLHOS CHANFRADO,1,Descontinuado,BOT
12043,41995,-,MAKE B.  PORTA PINCEIS EM PU,1,Descontinuado,BOT
12043,42111,-,CAPINHA MORANGUINHO EM SILICONE,5,Descontinuado,BOT
12043,42223,-,CAPINHA ROSA E ALGODAO EM SILICONE,10,Descontinuado,BOT
12043,42512,-,MAKE B PORTA PINCEIS METALIZADO PU,1,Descontinuado,BOT
12043,43092,-,SAQUINHO COMBO C/TAG NAM 2017 UN,1,Descontinuado,BOT
12043,43290,-,CAIXA RIGIDA INST M,7,Descontinuado,BOT
12043,43352,-,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,4,Descontinuado,BOT
12043,43355,-,BOTI MOLDE PARA BARBA ABS,1,Descontinuado,BOT
12043,43561,-,INTENSE CAPINHA BOCA P/ BATOM SILICONE,1,Descontinuado,BOT
12043,43785,56254,CBEM CAPINHA DELEITE SILICONE,1,Descontinuado,BOT
12043,43846,-,CBEM CAPINHA LAVANDINHA SILICONE,48,Descontinuado,BOT
12043,43932,-,MATCH ESCV P/MODELAR E ALISAR ABS,1,Descontinuado,BOT
12043,43934,-,MATCH ESCV P/MODELAR 3D ABS,3,Descontinuado,BOT
12043,43935,-,CBEM SAQUIN MANI E PEDI NYLON S/ALC,3,Descontinuado,BOT
12043,43939,-,MATCH ESCV PARA DESEMBARACAR ABS,1,Descontinuado,BOT
12043,43945,-,MAKE B ESPNJ KONJAC,2,Descontinuado,BOT
12043,43955,-,MATCH PENTE P/VOL PA,1,Descontinuado,BOT
12043,43956,-,MATCH PENTE P/ CACHOS PP,1,Descontinuado,BOT
12043,43960,-,MATCH ESCV P/ACAB ABS,1,Descontinuado,BOT
12043,43965,-,BOTI KIT CUIDADOS PESSOAIS ACO INOX,1,Descontinuado,BOT
12043,44411,-,MAKE B PINC CONTORNO ANGULAR,3,Descontinuado,BOT
12043,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,2,Descontinuado,BOT
12043,44580,-,MAKE B PINC ESPIRAL P/PELE,1,Descontinuado,BOT
12043,4472,-,BOTIK GEL SEC P/ACNE ACID MAND/SALIC 15G,2,Descontinuado,BOT
12043,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,0,Descontinuado,BOT
12043,44764,-,SOPHIE CJ PINC C/2 UN,5,Descontinuado,BOT
12043,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,11,Descontinuado,BOT
12043,44805,-,MAKE B NECESS POMPOM LISTRAS PU S/A,1,Descontinuado,BOT
12043,44851,-,MAKE B ESTJ P/SOBRANCELHAS,1,Descontinuado,BOT
12043,44863,-,DR BOTICA MALETA METAL C/A,5,Descontinuado,BOT
12043,44865,56841,BOTI BANHEIRINHA TRANSP PS,0,Descontinuado,BOT
12043,44967,-,BOTI BABY SABONETEIRA PP,1,Descontinuado,BOT
12043,4510,87483,REF BOTIK CR FAC FIRM AC/HIALUR 40g,3,Descontinuado,BOT
12043,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40G V2,12,Descontinuado,BOT
12043,45584,-,BOTI NECESS PODER PRETA PES C/A,1,Descontinuado,BOT
12043,45957,-,BOTI BABY FIDO NECESS AMARELA PES,1,Descontinuado,BOT
12043,46373,-,MAKE B MALET MAQUIAGEM C/ALC PU,1,Descontinuado,BOT
12043,46467,-,CBEM NECESS BRCA BOA NOITE S/A PES,0,Descontinuado,BOT
12043,46470,-,BOTI MASCARA PROT MALHA PRETA M,1,Descontinuado,BOT
12043,46580,-,CAIXA P NATAL 2020,7,Descontinuado,BOT
12043,46757,-,BOTI BOLSA ECOBAG BRCA G PES C/A,6,Descontinuado,BOT
12043,46895,-,BOTI MASSAG CPO PP,1,Descontinuado,BOT
12043,46948,-,ARBO SHW GEL CAB/CPO 75G,16,Descontinuado,BOT
12043,47235,50395,BOTI SUN PROT SOL CPO FPS 30 200g,0,Descontinuado,BOT
12043,47300,-,NSPA SHAMP SLD AMEI 90g,1,Descontinuado,BOT
