PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
22430,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",0,Descontinuado,EUD
22430,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
22430,1004,52493,FLORATTA DES COL MY BLUE 75ml,86,Descontinuado,BOT
22430,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
22430,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",0,Descontinuado,EUD
22430,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
22430,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,10,Descontinuado,EUD
22430,1160,-,GLAM BLUSH STCK MALVA 5g,0,Descontinuado,EUD
22430,1192,-,GLAM BLUSH STCK GINGER 5g,14,Descontinuado,EUD
22430,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,0,Descontinuado,EUD
22430,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,2,Descontinuado,EUD
22430,1246,-,GLAM ESMLT AZUL CARBONO 7ML,5,Descontinuado,EUD
22430,1278,-,"GLAM MASC CILIO VOL INFINITY 8,5g",6,Descontinuado,EUD
22430,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
22430,12965,86749,EUD CR DES HID CPO RGE 250g V2,0,Descontinuado,EUD
22430,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
22430,1676,87051,NSPA OL MULTIF AMEIXA 85ml,16,Descontinuado,BOT
22430,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,11,Descontinuado,BOT
22430,17552,-,DEM/V CARBON DES COL 4ml,0,Descontinuado,EUD
22430,17840,49570,IMPRESSION GEL CREME POS BARBA  75g,24,Descontinuado,EUD
22430,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
22430,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
22430,19815,86538,SOUL MASC CILIO VOL BOMB 10g,0,Descontinuado,EUD
22430,23291,-,CARBON ESPUMA BARBEAR TURBO 190G 200ML,0,Descontinuado,EUD
22430,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
22430,25458,48310,FLORATTA DES COL BLUE 75ml,3486,Descontinuado,BOT
22430,25682,-,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,3,Descontinuado,BOT
22430,26401,-,MAKE B PRIMER OLH V2,6,Descontinuado,BOT
22430,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
22430,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,95,Descontinuado,BOT
22430,30000,55991,"QDB BAT VOLUMAO LIQ TAMARALI 5,5ml",4,Descontinuado,QDB
22430,30006,-,QDB BASE LIQ LEVANTA TUDO COR 02Q 30ml,1,Descontinuado,QDB
