PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
7908,1004,52493,FLORATTA DES COL MY BLUE 75ml,10,Descontinuado,BOT
7908,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,3,Descontinuado,BOT
7908,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
7908,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
7908,1676,87051,NSPA OL MULTIF AMEIXA 85ml,0,Descontinuado,BOT
7908,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,1,Descontinuado,BOT
7908,1685,-,NSPA OL MULTIF ROSE 85ml,3,Descontinuado,BOT
7908,19374,-,MAKE B BRILHO LAB BCC STAR LIGHT ROUGE,2,Descontinuado,BOT
7908,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
7908,19737,28642,LILY SAB LIQ MAOS 200ml V2,2,Descontinuado,BOT
7908,19741,-,MAKE B EDP 30ml,1,Descontinuado,BOT
7908,20226,-,ESTJ NSPA ANTECIPE NAT/13,10,Descontinuado,BOT
7908,22503,-,CPRCH SAB BARRA 2X120g V3,1,Descontinuado,BOT
7908,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
7908,25397,47949,THE BLEND EDP 100ml,2,Descontinuado,BOT
7908,25458,48310,FLORATTA DES COL BLUE 75ml,80,Descontinuado,BOT
7908,27209,75589,INTENSE MASCARA PARA CILIOS VOLUME V3,2,Descontinuado,BOT
7908,27210,-,INTENSE MASCARA P/CIL 3/1 AL DEF CURV V2,null,Descontinuado,BOT
7908,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,4,Descontinuado,BOT
7908,27948,-,MAKE B PO COMP MATE CHOC V2,2,Descontinuado,BOT
7908,28002,-,REF MAKE B PO COMP MATE CAN V3,3,Descontinuado,BOT
7908,28003,-,REF MAKE B PO COMP MATE CHOC V3,2,Descontinuado,BOT
7908,28214,-,LINDA DES BDY SPR 100ml V5 PCK,3,Descontinuado,BOT
7908,28392,-,CBEM PROT SOL CPO FPS30 120ml,1,Descontinuado,BOT
7908,28527,77486,UOMINI DES ANTIT AER 75g/125ml V6,1,Descontinuado,BOT
7908,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,2,Descontinuado,BOT
