PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
18461,1004,52493,FLORATTA DES COL MY BLUE 75ml,20,Descontinuado,BOT
18461,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,1,Descontinuado,BOT
18461,11914,-,MYRIAD SAB LIQ 250ml,1,Descontinuado,BOT
18461,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
18461,1676,87051,NSPA OL MULTIF AMEIXA 85ml,0,Descontinuado,BOT
18461,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,3,Descontinuado,BOT
18461,1685,-,NSPA OL MULTIF ROSE 85ml,3,Descontinuado,BOT
18461,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
18461,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
18461,25424,48779,PORTINARI DESODORANTE B SPR 100ml PK V4,1,Descontinuado,BOT
18461,25431,-,AMOST MAKE B BASE LIQ CL AD BG CL 2 C/5,1,Descontinuado,BOT
18461,25458,48310,FLORATTA DES COL BLUE 75ml,56,Descontinuado,BOT
18461,25475,48315,FLORATTA DES COL GOLD 75ml,1,Descontinuado,BOT
18461,25682,-,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,1,Descontinuado,BOT
18461,25804,48990,INTENSE DES COL GLOSS 50ML,1,Descontinuado,BOT
18461,26401,-,MAKE B PRIMER OLH V2,5,Descontinuado,BOT
18461,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,1,Descontinuado,BOT
18461,27993,52618,MAKE B MASC CILIO VOL EXTREMO,2,Descontinuado,BOT
18461,28813,48141,ACCORDES DES COL 80ml V4,2,Descontinuado,BOT
18461,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,0,Descontinuado,BOT
18461,30192,54101,MALBEC DES COL X 100ml,18,Descontinuado,BOT
18461,30314,-,ZAAD SHW GEL CAB/CPO 200g,1,Descontinuado,BOT
18461,33359,-,SACOLA P INST/21 VERDE STD MOD C/200,3,Descontinuado,BOT
18461,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
18461,38479,-,BOT PINCEL SOMB CONCAVO IND V3,1,Descontinuado,BOT
18461,38480,-,BOT PINCEL DELINEAR SOMB BOCA IND V4,1,Descontinuado,BOT
18461,38481,-,BOT PINCEL SOMB ESPONJA IND V4,2,Descontinuado,BOT
18461,38482,-,BOT PINCEL BOCA RETR IND V3,1,Descontinuado,BOT
18461,40001,-,KIT INTENSE PINCEL CIRCUS MALABARES,1,Descontinuado,BOT
18461,40088,-,MAKE B PINCEL APLICAR SOMBRA,1,Descontinuado,BOT
18461,40092,-,MAKE B PINCEL RETRATIL LABIOS,3,Descontinuado,BOT
18461,40093,-,MAKE B ESPNJ MAQ SILIESPONJA PU,1,Descontinuado,BOT
18461,41143,-,BOT NECESS PVC BARBIE S/ALCA 16,1,Descontinuado,BOT
18461,41449,-,INTENSE PORTA BATOM PINK EM PAPEL,3,Descontinuado,BOT
18461,41623,-,MAKE B PINCEL BASE LIQUIDA,5,Descontinuado,BOT
18461,41624,-,MAKE B PINCEL CONTORNO FACIAL,2,Descontinuado,BOT
18461,41625,-,MAKE B PINCEL DUPLO OLHOS CHANFRADO,5,Descontinuado,BOT
18461,43352,-,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,2,Descontinuado,BOT
18461,43561,-,INTENSE CAPINHA BOCA P/ BATOM SILICONE,1,Descontinuado,BOT
18461,43785,56254,CBEM CAPINHA DELEITE SILICONE,1,Descontinuado,BOT
18461,43846,-,CBEM CAPINHA LAVANDINHA SILICONE,1,Descontinuado,BOT
18461,43909,49922,BOTI BABY MOCHI MAT UNSX POL C/ALC,2,Descontinuado,BOT
18461,43934,-,MATCH ESCV P/MODELAR 3D ABS,1,Descontinuado,BOT
18461,43951,-,SOPHIE ESCV DESEMBARACO ABS,2,Descontinuado,BOT
