PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
22650,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
22650,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
22650,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,118
22650,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
22650,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
22650,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,C,0
22650,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,0
22650,1062,NIINA SECRETS DES COL 100ml,EUD,C,72
22650,1063,DEM NIINA SECRETS DES COL 4ml,EUD,E,0
22650,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,C,65
22650,1113,COMB AROMATER STRESS,BOT,E,0
22650,1114,COMB AROMATER ENERG,BOT,E,0
22650,1116,COMB AROMATER CALMA,BOT,E,0
22650,1124,EMBALAGEM PRESENTEAVEL INSTANCE,EUD,E,0
22650,1125,COMB EGEO DOLCE MAES NANICO,BOT,E,0
22650,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,C,0
22650,1160,GLAM BLUSH STCK MALVA 5g,EUD,C,0
22650,1192,GLAM BLUSH STCK GINGER 5g,EUD,C,0
22650,1204,GLAM GEL LIMP DEMAQ SK/PERF 100g,EUD,C,0
22650,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
22650,1245,GLAM ESMLT AMEIXA PROFUNDO 7ml,EUD,C,0
22650,1246,GLAM ESMLT AZUL CARBONO 7ml,EUD,C,0
22650,1278,"GLAM MASC CILIO VOL INFINITY 8,5g",EUD,C,6
22650,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,29
22650,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
22650,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
22650,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,B,82
22650,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,B,135
22650,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,C,40
22650,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,106
22650,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,22
22650,14482,FLAC LILY EDP 4ml VE,BOT,E,0
22650,1454,"GLAM PLT SOMBRA ESSENTIAL 5,85g",EUD,E,0
22650,1478,COMB SIAGE REMOVE OLEOSIDADE SHAMP/COND,EUD,E,0
22650,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,20
22650,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,C,17
22650,1638,COMB SIAGE MEN POMAD/SHAMP FORCA,EUD,E,0
22650,1639,COMB SIAGE MEN POMAD/SHAMP ANTICASPA,EUD,E,0
22650,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,15
22650,1641,SIAGE SHAMP HAIR/PLAS 250ml,EUD,A,6
22650,1642,COMB INSTANCE BAUN MINI LOC/SAB,EUD,E,0
22650,1643,COMB EUD SENS VELV CREM/SAB LIQ,EUD,E,0
