PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
17787,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,95
17787,1080,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,BOT,E,5
17787,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
17787,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,B,2
17787,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
17787,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
17787,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
17787,1302,PMPCK LILY DES ANTIT AER 2X75G,BOT,B,14
17787,1314,PMPCK ZAAD DES ANTIT AER 2X75G,BOT,C,3
17787,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,6
17787,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,15
17787,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,B,9
17787,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,B,3
17787,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,6
17787,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,14
17787,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,1
17787,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,3
17787,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,0
17787,1703,NSPA OL CPO JASMIM SAMBAC 85ml,BOT,E,4
17787,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,C,2
17787,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,C,8
17787,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,E,5
17787,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,B,1
17787,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,C,4
17787,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,C,0
17787,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,C,5
17787,1861,MAKE B BAS LIQ MATE SALICYLIC 320 30g,BOT,E,4
17787,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,C,1
17787,1863,MAKE B BAS LIQ MATE SALICYLIC 330 30g,BOT,E,5
17787,19685,ELYSEE EDP 50ml,BOT,E,0
17787,19734,THATY DES COL BOTICOLL 100ML,BOT,A,22
17787,19814,EUD CR DES HID CPO DLX 250g V4,EUD,E,0
17787,19815,SOUL MASC CILIO VOL BOMB 10g,EUD,E,0
17787,2094,"INTENSE BAT CREM POP BEGE AMEND 3,6g",BOT,C,0
17787,2100,"INTENSE BAT CREM POP ROSA 3,6g",BOT,C,4
17787,2150,"INTENSE BAT CREM POP MAGENTA 3,6g",BOT,B,0
17787,2186,"INTENSE BAT MATE POP BEGE CAST 4,0g",BOT,B,1
17787,2192,INTENSE BAT MAT INTENSE POP VERM 4g,BOT,C,0
17787,2215,INTENSE BAT MAT INTENSE POP ROS/TELH 4g,BOT,B,0
17787,22248,CECITA DES COL BOTICOLL 100ML,BOT,E,55
17787,22249,FREE DES COL BOTICOLL 100ml V4,BOT,A,88
17787,2239,INTENSE BAS LIQ MATE CAMUFL POP 100 20ml,BOT,C,1
17787,2240,INTENSE BAS LIQ MATE CAMUFL POP 120 20ml,BOT,E,6
17787,2252,INTENSE BAS LIQ MATE CAMUFL POP 140 20ml,BOT,E,7
17787,2256,INTENSE BAS LIQ MATE CAMUFL POP 160 20ml,BOT,C,7
17787,2257,INTENSE BAS LIQ MATE CAMUFL POP 190 20ml,BOT,C,0
17787,2258,INTENSE BAS LIQ MATE CAMUFL POP 210 20ml,BOT,C,1
17787,2259,INTENSE BAS LIQ MATE CAMUFL POP 230 20ml,BOT,E,1
17787,2260,INTENSE BAS LIQ MATE CAMUFL POP 240 20ml,BOT,C,0
17787,2274,INTENSE BAS LIQ MATE CAMUFL POP 260 20ml,BOT,E,3
17787,2276,INTENSE BAS LIQ MATE CAMUFL POP 300 20ml,BOT,E,8
17787,2285,INTENSE BAS LIQ MATE CAMUFL POP 320 20ml,BOT,E,8
17787,2286,INTENSE BAS LIQ MATE CAMUFL POP 330 20ml,BOT,E,5
17787,23743,DEM FLAC ELYSEE EDP 4ml VE,BOT,E,0
17787,2483,"INTENSE LAP P/OLHO POP PRETO 1,1g",BOT,C,5
17787,2501,MALBEC CAR PRES CLUB,BOT,E,0
17787,25458,FLORATTA DES COL BLUE 75ml,BOT,E,34
17787,25682,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,BOT,E,1
17787,25730,MAKE B MOUSSE  LIMP TONIF 2/1 SKIN 150ml,BOT,E,2
17787,26401,MAKE B PRIMER OLH V2,BOT,E,2
17787,27707,BOTICOLL CONNEXION DES COL 100ml V2,BOT,A,13
17787,27856,MAKE B DELINEADOR LIQ P/OLHOS PRETO,BOT,E,4
17787,27858,MAKE B LAP RETR P/OLH PRET PCK,BOT,B,4
17787,27861,MAKE B LAP P/OLH GEL ULTRABLACK,BOT,E,5
17787,29046,BOTICOLL CONNEX DES BDY SPR 100ml V6 PCK,BOT,B,20
17787,29226,ELYSEE CREM HID DES CPO ACETINADO 250g,BOT,E,6
17787,29807,MAKE B SPR FIX MAQ ROSTO 75ml/40g,BOT,E,1
17787,30186,CARTAO PRESENTE INST 2021 UNITARIO,BOT,E,0
17787,30192,MALBEC DES COL X 100ml,BOT,E,42
17787,30201,MALBEC DES COL X 10ml PRM,BOT,E,4
17787,30226,MATCH MASC CAP SCIENCE CRESC 50ml PRM,BOT,E,1
17787,30247,EGEO DES COL PINA BLAST 90ml,BOT,C,19
17787,30302,SIAGE COND HIDRATACAO MICELAR V2 200ml,EUD,E,0
17787,30363,EGEO DES COL CHERRY BLAST 90ml,BOT,B,1
17787,33424,ESTJ FLORATTA FLOWERS SORT REG/22,BOT,B,5
17787,33427,LILY GELEIA DES HID CORPORAL GLOW 250g,BOT,B,5
17787,3505,CAIXA P INST 2021 ROSA ECONOMICA,BOT,E,7
17787,3517,CAIXA P INST 2021 VERDE ECONOMICA,BOT,E,134
17787,3529,CAIXA M INST 2021 ROSA ECONOMICA,BOT,E,116
17787,3530,CAIXA M INST 2021 VERDE ECONOMICA,BOT,E,132
17787,3542,CAIXA G INST 2021 ROSA ECONOMICA,BOT,E,14
17787,3554,CAIXA G INST 2021 VERDE ECONOMICA,BOT,E,299
17787,36226,ESTJ GLAMOUR SEC BL REG/22,BOT,C,0
17787,36485,ESTJ COFFEE W/SEDUC REG/22,BOT,E,0
17787,36486,ESTJ FLORATTA BLUE REG/22,BOT,E,1
17787,36487,REF MAKE B PO COMP FAC HYAL 40 8g,BOT,C,8
17787,36488,REF MAKE B PO COMP FAC HYAL 50 8g,BOT,E,1
17787,36637,REF MAKE B PO COMP FAC HYAL 60 8G,BOT,E,1
17787,36826,REF MAKE B PO COMP FAC HYAL 70 8g,BOT,E,0
17787,3700,KIT CAIXA M INST 2021 VERDE VD,BOT,E,2
17787,37159,REF MAKE B PO COMP FAC HYAL 80 8g,BOT,E,0
17787,37235,ACESSORIO NECESSAIRE LIMPEZA MAES 2012,BOT,E,5
17787,37262,INTENSE NECESSARIE POLIES S/ALCA 2013,BOT,E,1
17787,37693,REF MAKE B PO COMP FAC HYAL 10 8g,BOT,E,4
17787,37694,REF MAKE B PO COMP FAC HYAL 20 8G,BOT,C,3
17787,37695,REF MAKE B PO COMP FAC HYAL 25 8G,BOT,C,6
17787,37696,REF MAKE B PO COMP FAC HYAL 15 8G,BOT,C,0
17787,37699,REF MAKE B PO COMP FAC HYAL 30 8g,BOT,C,2
17787,37875,BOTICARIO APLICADOR DESCART LABIOS C/100,BOT,E,0
17787,37876,BOTICARIO APLICADOR DES DELINEADOR C/100,BOT,E,0
17787,37877,BOTICARIO APLICADOR DESCART SOMBRA C/100,BOT,E,0
17787,37878,BOTICARIO ESPATULA DESCARTAVEL C/100,BOT,E,0
17787,37879,BOTICARIO ESPONJA DESC MAQUIAGEM C/100,BOT,E,0
17787,37905,NSPA TOALHA DE BAMBU,BOT,E,2
17787,38554,NSPA NECESS PVC S/ALCA,BOT,E,4
17787,39235,CELEBRE DES BDY SPR FORCA 100ml,BOT,B,18
17787,39640,BOLSA MAO PVC S/ALCA NAT/14,BOT,E,6
17787,39683,CAIXA VERTICAL P MARROM LEVE BELEZ UNIT,BOT,E,2
17787,39687,CAIXA VERTICAL G MARROM LEVE BELEZA UNIT,BOT,E,4
17787,39827,TAPETE DE BANHO EM PVC SPULOKIS 14,BOT,E,9
17787,40030,INTENSE NECESS PVC CALIF S/ALCA 2015,BOT,E,2
17787,40032,INTENSE NECESS BOCA PU S/ALCA 2015,BOT,E,1
17787,40037,BOLSA ENVELOPE PU S/A MAKE B. UNIVER 15,BOT,E,1
17787,40049,BOT NECESS ALG CUSTMZ S/ALCA 2015,BOT,E,4
17787,40051,BOLSA MATERNIDADE POLIESTER C/A MAES/15,BOT,E,6
17787,40085,MAKE B PINCEL BASE PO FIBRAS DUPLAS,BOT,E,0
17787,40087,MAKE B PINCEL CORRETIVO FIBRAS DUPLAS,BOT,E,4
17787,40088,MAKE B PINCEL APLICAR SOMBRA,BOT,E,2
17787,40090,MAKE B PINCEL ESFUMAR SOMBRA,BOT,E,4
17787,40091,MAKE B PINCEL DELINEAR,BOT,E,2
17787,40093,MAKE B ESPNJ MAQ SILIESPONJA PU,BOT,E,2
17787,40121,ESTJ ZAAD REG/22,BOT,E,2
17787,40163,STYLETTO NECESS ESTJ NAT/12 VDA,BOT,E,2
17787,40220,ESTJ CBEM NUVEM REG/22,BOT,E,0
17787,40268,ESTJ NSPA AMEIXA REG/22,BOT,A,4
17787,40387,ESTJ MALBEC CLUB REG/22,BOT,B,1
17787,41143,BOT NECESS PVC BARBIE S/ALCA 16,BOT,E,2
17787,41449,INTENSE PORTA BATOM PINK EM PAPEL,BOT,E,4
17787,41450,INTENSE NECESSAIRE PINK EM PVC S/ALCA,BOT,E,3
17787,41544,N/SPA BANHEIRINHA TRANSP EM PS,BOT,E,8
17787,41623,MAKE B PINCEL BASE LIQUIDA,BOT,E,1
17787,41624,MAKE B PINCEL CONTORNO FACIAL,BOT,E,2
17787,41625,MAKE B PINCEL DUPLO OLHOS CHANFRADO,BOT,E,4
17787,41992,MAKE B NECESS TASSEL PVC S/ALCA,BOT,E,1
17787,42072,N/SPA NECESSAIRE ONDAS EM ALGODAO S/A,BOT,E,7
17787,42111,CAPINHA MORANGUINHO EM SILICONE,BOT,E,1
17787,42112,CAPINHA ABELINHA EM SILICONE,BOT,E,1
17787,42113,CAPINHA NUVEM EM SILICONE,BOT,C,1
17787,42223,CAPINHA ROSA E ALGODAO EM SILICONE,BOT,E,2
17787,42233,NECESSAIRE THEO EM PVC S/A SPULOKIS 2016,BOT,E,2
17787,42405,CAIXA RIGIDA CUBO PAIS 2016 UN,BOT,E,2
17787,42512,MAKE B PORTA PINCEIS METALIZADO PU,BOT,E,1
17787,42993,DR BOTICA MOCHI POLIEST C/ALC,BOT,E,3
17787,43149,SAQUINHO COMBO C/ADES PAIS 2017,BOT,E,140
17787,43290,CAIXA RIGIDA INST M,BOT,E,1
17787,43302,ENVELOPE NATAL 2017 M COM VISOR,BOT,E,2
17787,43350,BOTI NECESS HOLOG DREAM PVC S/ALC,BOT,E,1
17787,43352,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,BOT,E,1
17787,43358,DR BOTICA NECESS PVC S/ALC,BOT,E,1
17787,43370,CAIXA HORIZ NATAL 2017 PP UNIT,BOT,E,43
17787,43561,INTENSE CAPINHA BOCA P/ BATOM SILICONE,BOT,E,3
17787,43566,MAKE B PINC ESCOVA BASE,BOT,E,4
17787,43568,MAKE B MALET MAQ HOLOG ABS C/ALC,BOT,E,1
17787,43785,CBEM CAPINHA DELEITE SILICONE,BOT,E,2
17787,43849,MAKE B PINC PIGM ROSE GOLD,BOT,E,1
17787,43917,CBEM NECESS DELEITE POLIESTER S/ALC,BOT,E,1
17787,43932,MATCH ESCV P/MODELAR E ALISAR ABS,BOT,E,1
17787,43934,MATCH ESCV P/MODELAR 3D ABS,BOT,E,1
17787,43935,CBEM SAQUIN MANI E PEDI NYLON S/ALC,BOT,E,5
17787,43939,MATCH ESCV PARA DESEMBARACAR ABS,BOT,E,3
17787,43945,MAKE B ESPNJ KONJAC,BOT,E,1
17787,43951,SOPHIE ESCV DESEMBARACO ABS,BOT,E,1
17787,43955,MATCH PENTE P/VOL PA,BOT,E,1
17787,43960,MATCH ESCV P/ACAB ABS,BOT,E,1
17787,44162,CAIXA INST G LACO VERDE,BOT,E,5
17787,44164,CARTUCHO INST S/VISOR LACO VERDE,BOT,E,11
17787,44410,MAKE B PINC LEQUE,BOT,E,3
17787,44411,MAKE B PINC CONTORNO ANGULAR,BOT,E,3
17787,44413,MAKE B PINC DUPLO ILUMINADOR,BOT,E,2
17787,4443,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,BOT,E,2
17787,44580,MAKE B PINC ESPIRAL P/PELE,BOT,E,1
17787,44581,MAKE B PINCEL P/MARCAR CONCAVO,BOT,E,2
17787,4473,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,BOT,E,15
17787,44742,FITA DE VEDACAO VOID DEVOLUCAO,BOT,E,0
17787,44764,SOPHIE CJ PINC C/2 UN,BOT,E,2
17787,44798,BOTI FONE OUV ROSA ABS,BOT,E,6
17787,44799,BOTI FONE OUV AZUL ABS,BOT,E,9
17787,4480,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,BOT,E,4
17787,44803,CBEM CESTINHO METAL C/A,BOT,C,2
17787,4481,BOTIK CREM HID FAC FIRM AC/POLIGL 50g,BOT,C,2
17787,4482,BOTIK LOC HID ANTIOL ACI POL FAC 110ml,BOT,C,22
17787,44851,MAKE B ESTJ P/SOBRANCELHAS,BOT,E,1
17787,44864,INTENSE NECESS PRATICA PES S/A,BOT,E,3
17787,44865,BOTI BANHEIRINHA TRANSP PS,BOT,E,3
17787,44967,BOTI BABY SABONETEIRA PP,BOT,E,1
17787,45025,BOTI BABY FRASQ TROCADOR CINZA PES C/A,BOT,E,2
17787,45036,BOTI BANDEJA PARA BANCADA ACO INOX,BOT,E,1
17787,4510,REF BOTIK CR FAC FIRM AC/HIALUR 40g,BOT,E,5
17787,4520,BOTIK GEL CR FAC FIRM AC/HIALUR 40g,BOT,B,9
