PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
22984,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,28
22984,1006,FLORATTA LOC DES HID CPO MY BLUE 200ml,BOT,E,1
22984,1080,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,BOT,E,6
22984,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,E,0
22984,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
22984,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
22984,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
22984,1302,PMPCK LILY DES ANTIT AER 2X75G,BOT,B,10
22984,1314,PMPCK ZAAD DES ANTIT AER 2X75G,BOT,B,3
22984,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,19
22984,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,15
22984,14482,FLAC LILY EDP 4ml VE,BOT,E,0
22984,1624,NSPA SHAMP MORANGO RUBY 300ml,BOT,E,1
22984,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,9
22984,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,B,4
22984,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,9
22984,16438,FLAC GLAMOUR S/B DES COL 4ml VE,BOT,E,0
22984,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,E,18
22984,1672,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,BOT,E,2
22984,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,3
22984,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,3
22984,1685,NSPA OL MULTIF ROSE 85ml,BOT,E,3
22984,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,1
22984,1703,NSPA OL CPO JASMIM SAMBAC 85ml,BOT,E,2
22984,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,E,1
22984,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,E,2
22984,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,E,0
22984,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,E,2
22984,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,E,0
22984,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,E,0
22984,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,E,2
22984,1861,MAKE B BAS LIQ MATE SALICYLIC 320 30g,BOT,E,0
22984,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,E,2
22984,1863,MAKE B BAS LIQ MATE SALICYLIC 330 30g,BOT,E,0
22984,19734,THATY DES COL BOTICOLL 100ML,BOT,A,46
22984,19814,EUD CR DES HID CPO DLX 250g V4,EUD,E,0
22984,19815,SOUL MASC CILIO VOL BOMB 10g,EUD,E,0
22984,2094,"INTENSE BAT CREM POP BEGE AMEND 3,6g",BOT,C,3
