PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
12772,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,4
12772,12084,ESTJ EGEO DOLCE NAM/22,BOT,E,0
12772,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,E,0
12772,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
12772,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
12772,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
12772,1302,PMPCK LILY DES ANTIT AER 2X75G,BOT,B,7
12772,1314,PMPCK ZAAD DES ANTIT AER 2X75G,BOT,B,1
12772,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,17
12772,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,B,10
12772,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,7
12772,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,A,0
12772,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,E,3
12772,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,E,5
12772,1672,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,BOT,E,28
12772,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,0
12772,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,6
12772,1685,NSPA OL MULTIF ROSE 85ml,BOT,E,2
12772,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,5
12772,1762,CBEM CARTCH PRES BEIJINHO,BOT,E,0
12772,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,E,1
12772,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,E,1
12772,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,E,1
12772,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,C,4
12772,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,E,3
12772,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,E,2
12772,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,C,0
12772,1861,MAKE B BAS LIQ MATE SALICYLIC 320 30g,BOT,E,0
12772,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,C,0
12772,1863,MAKE B BAS LIQ MATE SALICYLIC 330 30g,BOT,E,1
12772,19685,ELYSEE EDP 50ml,BOT,E,0
12772,19734,THATY DES COL BOTICOLL 100ML,BOT,A,4
12772,19814,EUD CR DES HID CPO DLX 250g V4,EUD,E,0
12772,19815,SOUL MASC CILIO VOL BOMB 10g,EUD,E,0
12772,2094,"INTENSE BAT CREM POP BEGE AMEND 3,6g",BOT,C,0
