PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
22470,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",35,Descontinuado,EUD
22470,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",179,Descontinuado,EUD
22470,1004,52493,FLORATTA DES COL MY BLUE 75ml,47,Descontinuado,BOT
22470,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
22470,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",21,Descontinuado,EUD
22470,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
22470,1063,-,DEM NIINA SECRETS DES COL 4ml,0,Descontinuado,EUD
22470,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,5,Descontinuado,BOT
22470,1080,-,INTENSE GLOS LAB BUBBAL TUT/FRUT 5ml,15,Descontinuado,BOT
22470,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,2,Descontinuado,EUD
22470,1160,-,GLAM BLUSH STCK MALVA 5g,0,Descontinuado,EUD
22470,1192,-,GLAM BLUSH STCK GINGER 5g,0,Descontinuado,EUD
22470,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,4,Descontinuado,EUD
22470,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
22470,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,1,Descontinuado,EUD
22470,1246,-,GLAM ESMLT AZUL CARBONO 7ml,0,Descontinuado,EUD
22470,12702,-,"SOUL BALM LIQ JEL FRESH CAC/DESEJ 7,5ml",1,Descontinuado,EUD
22470,1278,-,"GLAM MASC CILIO VOL INFINITY 8,5g",6,Descontinuado,EUD
22470,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
22470,12965,86749,EUD CR DES HID CPO RGE 250g V2,33,Descontinuado,EUD
22470,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",0,Descontinuado,EUD
22470,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
22470,1676,87051,NSPA OL MULTIF AMEIXA 85ml,13,Descontinuado,BOT
22470,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,7,Descontinuado,BOT
22470,1728,-,SIAGE BSTR CAP ACIDCOL HAIR/PLAS 100ml,108,Descontinuado,EUD
22470,17552,-,DEM/V CARBON DES COL 4ml,22,Descontinuado,EUD
22470,17585,53431,CLUB 6 DES ANTIT AER 125ml 75g,11,Descontinuado,EUD
22470,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
22470,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
22470,19815,86538,SOUL MASC CILIO VOL BOMB 10g,23,Descontinuado,EUD
22470,22023,-,INTENSE DES COL OOPSS 50ml,15,Descontinuado,BOT
22470,23291,-,CARBON ESPUMA BARBEAR TURBO 190g 200ml,44,Descontinuado,EUD
22470,23304,-,CARBON POS BARBA GEL CREM TURBO 75g,9,Descontinuado,EUD
22470,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
22470,24830,-,FLAC ACCORDES HARMONIA DES COL 4ml VE,1,Descontinuado,BOT
22470,24842,-,FLAC COFFEE MAN DES COL 4ml VE,2,Descontinuado,BOT
22470,25458,48310,FLORATTA DES COL BLUE 75ml,531,Descontinuado,BOT
22470,25804,48990,INTENSE DES COL GLOSS 50ML,1,Descontinuado,BOT
22470,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
22470,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,118,Descontinuado,BOT
22470,29528,-,MAKE B SOMB TRIO P/SOBRANC,1,Descontinuado,BOT
22470,30006,-,QDB BASE LIQ LEVANTA TUDO COR 02Q 30ml,2,Descontinuado,QDB
22470,30007,-,QDB BASE LIQ LEVANTA TUDO COR 03F 30ml,2,Descontinuado,QDB
22470,30008,-,QDB BASE LIQ LEVANTA TUDO COR 10N 30ml,2,Descontinuado,QDB
22470,30009,-,QDB BASE LIQ LEVANTA TUDO COR 03Q 30ml,2,Descontinuado,QDB
22470,30010,-,QDB BASE LIQ LEVANTA TUDO COR 09Q 30ml,1,Descontinuado,QDB
22470,30014,-,QDB BASE LIQ LEVANTA TUDO COR 12Q 30ml,3,Descontinuado,QDB
22470,30015,-,QDB BASE LIQ LEVANTA TUDO COR 14N 30ml,2,Descontinuado,QDB
22470,30016,-,QDB BASE LIQ LEVANTA TUDO COR 06Q 30ml,1,Descontinuado,QDB
22470,30018,-,QDB BASE LIQ LEVANTA TUDO COR 15Q 30ml,1,Descontinuado,QDB
22470,30019,-,QDB BASE LIQ LEVANTA TUDO 01F 30ml,4,Descontinuado,QDB
22470,30020,59763,QDB BASE LIQ LEVANTA TUDO INCOLOR 30ml,1,Descontinuado,QDB
22470,30178,-,GLAM ILUM STCK FAC LUMINOUS 5g,5,Descontinuado,EUD
22470,30192,54101,MALBEC DES COL X 100ml,0,Descontinuado,BOT
22470,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,21,Descontinuado,BOT
22470,30257,-,DEM EGEO DES COL PINA BLAST 4ml,3,Descontinuado,BOT
22470,30314,-,ZAAD SHW GEL CAB/CPO 200g,1,Descontinuado,BOT
22470,3219,-,OUI EDP FLEURS ETERNELLES LHYSOPE 75ML,4,Descontinuado,BOT
22470,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ml,2,Descontinuado,BOT
22470,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
22470,37476,-,QDB PINCEL BASE,2,Descontinuado,QDB
22470,37515,-,QDB PINCEL DELINEADOR,2,Descontinuado,QDB
22470,37516,-,QDB PINCEL SOMBRA,4,Descontinuado,QDB
22470,39437,-,QDB PINCEL SOBRANCELHA DUPLO,2,Descontinuado,QDB
22470,40086,-,MAKE B PINCEL BLUSH,1,Descontinuado,BOT
22470,40088,-,MAKE B PINCEL APLICAR SOMBRA,0,Descontinuado,BOT
22470,41623,-,MAKE B PINCEL BASE LIQUIDA,1,Descontinuado,BOT
22470,42115,-,QDB PINCEL PO VS2,5,Descontinuado,QDB
22470,42932,-,EUD PORTA JOIAS POLIEST S/A,0,Descontinuado,EUD
22470,43279,-,CAIXA HORIZ INST PP,10,Descontinuado,BOT
22470,43355,-,BOTI MOLDE PARA BARBA ABS,3,Descontinuado,BOT
22470,43554,-,MATCH NECESS PRET/ROSA PVC S/ALC,18,Descontinuado,BOT
22470,43566,-,MAKE B PINC ESCOVA BASE,1,Descontinuado,BOT
22470,4379,-,NIINA SCRT NECESS ROSA PU/VINIL,62,Descontinuado,EUD
22470,43916,-,SOPHIE BOLSA POMPOM PVC C/ALC,1,Descontinuado,BOT
22470,43918,-,SOPHIE NECESS POMPOM PVC S/ALC,1,Descontinuado,BOT
22470,43939,-,MATCH ESCV PARA DESEMBARACAR ABS,8,Descontinuado,BOT
22470,44410,-,MAKE B PINC LEQUE,3,Descontinuado,BOT
22470,44411,-,MAKE B PINC CONTORNO ANGULAR,1,Descontinuado,BOT
22470,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,1,Descontinuado,BOT
22470,44678,-,MATCH PUMP P/SHAMP COND 1000ml,2,Descontinuado,BOT
22470,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,1,Descontinuado,BOT
22470,44764,-,SOPHIE CJ PINC C/2 UN,7,Descontinuado,BOT
22470,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,3,Descontinuado,BOT
22470,44817,-,"QDB PALETA SOMBRA REFIL PARA 4 1,5g RPCK",3,Descontinuado,QDB
22470,44834,-,MALBEC NECESS VERDE TELA PES C/A,1,Descontinuado,BOT
22470,44863,-,DR BOTICA MALETA METAL C/A,26,Descontinuado,BOT
22470,44865,56841,BOTI BANHEIRINHA TRANSP PS,0,Descontinuado,BOT
