PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
6115,1004,52493,FLORATTA DES COL MY BLUE 75ml,17,Descontinuado,BOT
6115,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
6115,12829,-,CBEM CREM HID DES CPO MAOS A/BAU 50g,4,Descontinuado,BOT
6115,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
6115,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,1,Descontinuado,BOT
6115,1676,87051,NSPA OL MULTIF AMEIXA 85ml,7,Descontinuado,BOT
6115,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,4,Descontinuado,BOT
6115,1703,-,NSPA OL CPO JASMIM SAMBAC 85ml,2,Descontinuado,BOT
6115,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
6115,20442,-,PROV MAKE B BAT HID STYLE ROSE,1,Descontinuado,BOT
6115,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
6115,25458,48310,FLORATTA DES COL BLUE 75ml,48,Descontinuado,BOT
6115,25682,-,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,23,Descontinuado,BOT
6115,27856,53427,MAKE B DELINEADOR LIQ P/OLHOS PRETO,6,Descontinuado,BOT
6115,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,7,Descontinuado,BOT
6115,27993,52618,MAKE B MASC CILIO VOL EXTREMO,1,Descontinuado,BOT
6115,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,10,Descontinuado,BOT
6115,30192,54101,MALBEC DES COL X 100ml,8,Descontinuado,BOT
6115,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,2,Descontinuado,BOT
6115,33359,-,SACOLA P INST/21 VERDE STD MOD C/200,3,Descontinuado,BOT
6115,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
6115,38479,-,BOT PINCEL SOMB CONCAVO IND V3,6,Descontinuado,BOT
6115,38481,-,BOT PINCEL SOMB ESPONJA IND V4,8,Descontinuado,BOT
6115,40088,-,MAKE B PINCEL APLICAR SOMBRA,0,Descontinuado,BOT
6115,40092,-,MAKE B PINCEL RETRATIL LABIOS,1,Descontinuado,BOT
6115,41623,-,MAKE B PINCEL BASE LIQUIDA,1,Descontinuado,BOT
6115,41624,-,MAKE B PINCEL CONTORNO FACIAL,4,Descontinuado,BOT
6115,43932,-,MATCH ESCV P/MODELAR E ALISAR ABS,1,Descontinuado,BOT
6115,43944,-,NSPA ESPNJ DE BNH BICLR VERM PE,1,Descontinuado,BOT
6115,43945,-,MAKE B ESPNJ KONJAC,1,Descontinuado,BOT
6115,43955,-,MATCH PENTE P/VOL PA,2,Descontinuado,BOT
