PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
23491,1004,52493,FLORATTA DES COL MY BLUE 75ml,36,Descontinuado,BOT
23491,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
23491,12965,86749,EUD CR DES HID CPO RGE 250g V2,0,Descontinuado,EUD
23491,1672,-,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,19,Descontinuado,BOT
23491,1676,87051,NSPA OL MULTIF AMEIXA 85ml,8,Descontinuado,BOT
23491,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,5,Descontinuado,BOT
23491,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
23491,19815,86538,SOUL MASC CILIO VOL BOMB 10g,22,Descontinuado,EUD
23491,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
23491,25458,48310,FLORATTA DES COL BLUE 75ml,239,Descontinuado,BOT
23491,27993,52618,MAKE B MASC CILIO VOL EXTREMO,1,Descontinuado,BOT
23491,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,14,Descontinuado,BOT
23491,30192,54101,MALBEC DES COL X 100ml,0,Descontinuado,BOT
23491,3219,-,OUI EDP FLEURS ETERNELLES LHYSOPE 75ML,1,Descontinuado,BOT
23491,43956,-,MATCH PENTE P/ CACHOS PP,1,Descontinuado,BOT
23491,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,3,Descontinuado,BOT
23491,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,0,Descontinuado,BOT
23491,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,11,Descontinuado,BOT
23491,44865,56841,BOTI BANHEIRINHA TRANSP PS,0,Descontinuado,BOT
23491,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,10,Descontinuado,BOT
23491,46933,-,QDB LOC DES HID CPO REPAIR 400ml,14,Descontinuado,QDB
23491,46936,-,QDB LOC DES HID CPO REPAIR 200ml,16,Descontinuado,QDB
23491,47171,-,SIAGE SPR ANTI FRIZZ CBT/FRIZ 50ml RPCK,0,Descontinuado,EUD
23491,47235,50395,BOTI SUN PROT SOL CPO FPS 30 200g,3,Descontinuado,BOT
23491,47486,-,REFIL OUI EDP LA VILLETTE 75ml,10,Descontinuado,BOT
23491,47552,88022,BOTICA 214 EDP FOUG AROM VER/FIRENZ 90ml,6,Descontinuado,BOT
23491,47594,47963,BOTI SUN PROT CPO FPS 50 200g,0,Descontinuado,BOT
23491,47597,86035,INSTANCE DES ANTIT AER FR/VERM 150ml,3,Descontinuado,EUD
23491,47630,88019,BOTICA 214 EDP DARK MINT 90ml V2,0,Descontinuado,BOT
23491,47815,-,INSTANCE DES ANTIT AER CHA VDE/ROM 150ml,8,Descontinuado,EUD
23491,47817,-,INSTANCE DES ANTIT CREM S/PERF 80g,1,Descontinuado,EUD
23491,47818,-,INSTANCE DES ANTIT AER S/PERF 150ml,0,Descontinuado,EUD
23491,47842,-,EUD DES ANTIT AER 90g/150ml V2,0,Descontinuado,EUD
23491,48020,57675,NSPA OLEO ACUC ESF CPO AMEI 200g V3,1,Descontinuado,BOT
23491,48100,59193,CBEM COND FEIRA BANANA 170ml,0,Descontinuado,BOT
23491,48130,84387,MALBEC DES COL 100ml V5,0,Descontinuado,BOT
23491,48136,48307,FLORATTA DES COL F/SECRET 75ml V2,483,Descontinuado,BOT
23491,48144,85606,INSENSATEZ DES COL 100ml V3,247,Descontinuado,BOT
23491,48275,-,INTENSE BASE LIQ SUPFIX 50 25ml V3,4,Descontinuado,BOT
23491,48277,-,INTENSE BASE LIQ SUPFIX 15 25ml V3,3,Descontinuado,BOT
23491,48285,-,NSPA SAB LIQ CPO AMEI 200ml V3,4,Descontinuado,BOT
23491,48362,-,MALBEC DES COL 50ml V4,0,Descontinuado,BOT
23491,48547,49884,CBEM LOC DES HID CPO L/MEL 400ml V7,6,Descontinuado,BOT
23491,48619,49887,REF CBEM LOC HID DES CPO NUVEM 400ml V2,17,Descontinuado,BOT
23491,48621,52507,FLORATTA EDP FLEUR D ECLIPSE 75ml,70,Descontinuado,BOT
23491,48632,-,DREAM DES COL SPLSH AMOR NO AR 350ml V2,0,Descontinuado,BOT
23491,48635,48313,FLORATTA DES COL ROSE 75ml V3,256,Descontinuado,BOT
23491,48675,59516,REF NSPA LOC DES H CPO AMEI/NEG 400ml V2,0,Descontinuado,BOT
23491,48676,59517,REF NSPA LOC DES HID CPO AMEI 400ml V2,242,Descontinuado,BOT
23491,48701,-,EGEO DES COL BEAT 90ml V2,49,Descontinuado,BOT
23491,48731,49945,REF CBEM LOC HID DES CPO R/ALG 400ml V2,3,Descontinuado,BOT
23491,49012,-,FLORATTA CR DES HID CPO F/SECR 200ml V3,10,Descontinuado,BOT
23491,49022,-,EGEO DES ANTIT AER CHOC 75g V3,2,Descontinuado,BOT
23491,49023,-,DREAM LOC DES HID CPO CEU/BAUN 200ml V2,0,Descontinuado,BOT
23491,49057,-,CBEM CR HID P/PES NETFLIX 75g,9,Descontinuado,BOT
23491,49089,59583,MATCH SHAMP NUTR REGENERADORA 300ml,31,Descontinuado,BOT
23491,49090,59582,MATCH COND NUTR REGENERADORA 280ml,3,Descontinuado,BOT
23491,49092,59580,MATCH OL BIF NUTR REGENERADORA 90ml,4,Descontinuado,BOT
23491,49157,-,CJ SCH OUI CR RICH DES H CPO LAMOUR 5x5g,38,Descontinuado,BOT
23491,49389,50213,MALBEC POMAD MODEL CAP ANTICASP CLUB 85g,0,Descontinuado,BOT
23491,49487,-,AURIEN LOC HID DES CPO RUBRA 200ml V3,0,Descontinuado,EUD
23491,49496,-,AURIEN DES COL RUBRA 100ml V3,0,Descontinuado,EUD
23491,49500,-,AURIEN DES COL TURQ 100ml V2,0,Descontinuado,EUD
23491,49503,-,DEM AURIEN DES COL TURQ 4ml V2,0,Descontinuado,EUD
23491,49511,87014,EUD EDP ROUGE 75ml V2,0,Descontinuado,EUD
23491,49521,-,DEM EUD EDP ROUGE 4ml V2,0,Descontinuado,EUD
23491,49539,-,DEM EUD EDP 4ml V2,0,Descontinuado,EUD
23491,49540,87013,EUD EDP 75ml V4,146,Descontinuado,EUD
23491,49575,-,FOR LIFE DES COL 100ml V2,0,Descontinuado,EUD
23491,49802,-,DEM CHIC DES COL 4ml V2,0,Descontinuado,EUD
23491,49884,-,CBEM LOC DES HID CPO L/MEL V8 400ml,8,Descontinuado,BOT
23491,49932,-,CBEM LOC DES HID CPO NUVEM PRM 100ml,20,Descontinuado,BOT
23491,49946,-,CBEM LOC DES HID CPO DELEITE PRM 100ml,5,Descontinuado,BOT
23491,49965,-,NSPA LOC DES HID CPO ORQ NOIRE 50ml PRM,11,Descontinuado,BOT
23491,49973,58373,FLORATTA DES COL RED BLOSSOM 75ml,96,Descontinuado,BOT
23491,50119,54231,MALBEC DES COL ULT BLEU 100ml,86,Descontinuado,BOT
23491,50207,59036,MALBEC TON CAP 2/1 CLUB V2 100ml,19,Descontinuado,BOT
23491,50211,59033,MALBEC SHAMP ESF ANTICASPA CLUB V2 150ml,20,Descontinuado,BOT
23491,50212,59034,MALBEC COND TRAT ANTIC CLUB V2 250ml,17,Descontinuado,BOT
23491,50220,59019,MALBEC LOC DES HID CPO CLUB V2 200ml,0,Descontinuado,BOT
23491,50223,59027,MALBEC ESPUM P/BARB SENSIT CLUB V2 200ml,1,Descontinuado,BOT
23491,50225,59024,MALBEC BALM POS BARB SENSIT CLUB V2 100g,15,Descontinuado,BOT
23491,50230,59031,MALBEC SHAMP CAB OLEOSOS CLUB 250ml,17,Descontinuado,BOT
23491,50275,-,EUD K/M LOC PERF DES CPO NOW V2 100ml,0,Descontinuado,EUD
