PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
24600,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,5
24600,1078,MATCH SRUM CAP POS QUIMICA 50ml,BOT,E,1
24600,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,B,0
24600,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,B,0
24600,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,1
24600,1612,DEM INSENSATEZ DES COL VITTAR 4ml,BOT,E,2
24600,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,B,3
24600,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,C,9
24600,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,E,0
24600,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,7
24600,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,3
24600,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,4
24600,1685,NSPA OL MULTIF ROSE 85ml,BOT,E,3
24600,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,2
24600,1703,NSPA OL CPO JASMIM SAMBAC 85ml,BOT,E,2
24600,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,C,1
24600,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,C,0
24600,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,C,2
24600,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,E,2
24600,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,C,1
24600,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,C,2
24600,1861,MAKE B BAS LIQ MATE SALICYLIC 320 30g,BOT,E,2
24600,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,C,1
24600,1863,MAKE B BAS LIQ MATE SALICYLIC 330 30g,BOT,E,2
24600,19734,THATY DES COL BOTICOLL 100ML,BOT,A,39
24600,2100,"INTENSE BAT CREM POP ROSA 3,6g",BOT,C,0
24600,2150,"INTENSE BAT CREM POP MAGENTA 3,6g",BOT,C,0
24600,2186,"INTENSE BAT MATE POP BEGE CAST 4,0g",BOT,C,0
24600,2192,INTENSE BAT MAT INTENSE POP VERM 4g,BOT,C,0
24600,22023,INTENSE DES COL OOPSS 50ml,BOT,E,6
24600,2215,INTENSE BAT MAT INTENSE POP ROS/TELH 4g,BOT,C,0
24600,22249,FREE DES COL BOTICOLL 100ml V4,BOT,A,14
24600,2239,INTENSE BAS LIQ MATE CAMUFL POP 100 20ml,BOT,E,10
24600,2240,INTENSE BAS LIQ MATE CAMUFL POP 120 20ml,BOT,E,7
24600,2252,INTENSE BAS LIQ MATE CAMUFL POP 140 20ml,BOT,E,16
24600,2256,INTENSE BAS LIQ MATE CAMUFL POP 160 20ml,BOT,E,17
24600,2257,INTENSE BAS LIQ MATE CAMUFL POP 190 20ml,BOT,C,12
24600,2258,INTENSE BAS LIQ MATE CAMUFL POP 210 20ml,BOT,C,17
24600,2259,INTENSE BAS LIQ MATE CAMUFL POP 230 20ml,BOT,C,2
24600,2260,INTENSE BAS LIQ MATE CAMUFL POP 240 20ml,BOT,C,7
24600,2276,INTENSE BAS LIQ MATE CAMUFL POP 300 20ml,BOT,E,2
24600,2285,INTENSE BAS LIQ MATE CAMUFL POP 320 20ml,BOT,E,3
24600,2286,INTENSE BAS LIQ MATE CAMUFL POP 330 20ml,BOT,E,3
24600,2483,"INTENSE LAP P/OLHO POP PRETO 1,1g",BOT,C,4
24600,25458,FLORATTA DES COL BLUE 75ml,BOT,E,57
24600,27707,BOTICOLL CONNEXION DES COL 100ml V2,BOT,A,9
24600,29046,BOTICOLL CONNEX DES BDY SPR 100ml V6 PCK,BOT,C,1
24600,29226,ELYSEE CREM HID DES CPO ACETINADO 250g,BOT,E,22
24600,30226,MATCH MASC CAP SCIENCE CRESC 50ml PRM,BOT,E,3
24600,30247,EGEO DES COL PINA BLAST 90ml,BOT,B,7
24600,30363,EGEO DES COL CHERRY BLAST 90ml,BOT,B,6
24600,33424,ESTJ FLORATTA FLOWERS SORT REG/22,BOT,B,0
24600,33427,LILY GELEIA DES HID CORPORAL GLOW 250g,BOT,B,4
24600,3517,CAIXA P INST 2021 VERDE ECONOMICA,BOT,E,92
24600,3530,CAIXA M INST 2021 VERDE ECONOMICA,BOT,E,169282
24600,3542,CAIXA G INST 2021 ROSA ECONOMICA,BOT,E,49
24600,3554,CAIXA G INST 2021 VERDE ECONOMICA,BOT,E,104
24600,36487,REF MAKE B PO COMP FAC HYAL 40 8g,BOT,E,1
24600,36488,REF MAKE B PO COMP FAC HYAL 50 8g,BOT,C,0
24600,36637,REF MAKE B PO COMP FAC HYAL 60 8g,BOT,E,3
24600,36826,REF MAKE B PO COMP FAC HYAL 70 8g,BOT,E,0
24600,37159,REF MAKE B PO COMP FAC HYAL 80 8g,BOT,E,2
24600,37648,INTENSE NECESS DE NAT/12,BOT,E,1
24600,37693,REF MAKE B PO COMP FAC HYAL 10 8g,BOT,E,1
24600,37694,REF MAKE B PO COMP FAC HYAL 20 8g,BOT,C,1
24600,37695,REF MAKE B PO COMP FAC HYAL 25 8g,BOT,C,1
24600,37696,REF MAKE B PO COMP FAC HYAL 15 8g,BOT,E,2
24600,37699,REF MAKE B PO COMP FAC HYAL 30 8g,BOT,C,1
24600,38476,BOT PINCEL FAN IND V3,BOT,E,1
24600,38480,BOT PINCEL DELINEAR SOMB BOCA IND V4,BOT,E,1
24600,40031,MAKE B APLICADOR CILIOS POST PLCB 2015,BOT,E,1
24600,40093,MAKE B ESPNJ MAQ SILIESPONJA PU,BOT,E,1
24600,40220,ESTJ CBEM NUVEM REG/22,BOT,C,11
24600,42111,CAPINHA MORANGUINHO EM SILICONE,BOT,E,2
24600,42112,CAPINHA ABELINHA EM SILICONE,BOT,E,2
24600,42113,CAPINHA NUVEM EM SILICONE,BOT,E,2
24600,42223,CAPINHA ROSA E ALGODAO EM SILICONE,BOT,E,3
24600,43352,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,BOT,E,1
24600,43358,DR BOTICA NECESS PVC S/ALC,BOT,E,1
24600,43785,CBEM CAPINHA DELEITE SILICONE,BOT,E,2
24600,43932,MATCH ESCV P/MODELAR E ALISAR ABS,BOT,E,5
24600,43934,MATCH ESCV P/MODELAR 3D ABS,BOT,E,2
24600,43935,CBEM SAQUIN MANI E PEDI NYLON S/ALC,BOT,E,1
24600,43956,MATCH PENTE P/ CACHOS PP,BOT,E,2
24600,43960,MATCH ESCV P/ACAB ABS,BOT,E,2
24600,4472,BOTIK GEL SEC P/ACNE ACID MAND/SALIC 15g,BOT,E,2
24600,4473,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,BOT,E,2
24600,44764,SOPHIE CJ PINC C/2 UN,BOT,E,2
24600,4480,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,BOT,E,1
24600,44801,CBEM BOLSA VERAO PES C/A,BOT,E,6
24600,44803,CBEM CESTINHO METAL C/A,BOT,E,0
24600,44807,MATCH ESTJ PRATICO P/CABELOS,BOT,E,2
24600,4481,BOTIK CREM HID FAC FIRM AC/POLIGL 50g,BOT,B,1
24600,4482,BOTIK LOC HID ANTIOL ACI POL FAC 110ml,BOT,C,21
24600,44864,INTENSE NECESS PRATICA PES S/A,BOT,E,2
24600,44968,SOPHIE SABONETEIRA PP,BOT,E,3
24600,4510,REF BOTIK CR FAC FIRM AC/HIALUR 40g,BOT,C,3
24600,4520,BOTIK GEL CR FAC FIRM AC/HIALUR 40g,BOT,B,4
24600,4522,REF BOTIK GEL CR FAC FIRM AC/HIAL 40g V2,BOT,B,0
24600,4539,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,BOT,E,1
24600,45551,MAKE B TAPETE LIMP PINCEIS SILICONE,BOT,E,2
24600,45568,BOTI BABY CAPINHA FIDO AMARELA SILICONE,BOT,E,2
24600,45593,BOTI APARELHO LIMP FACIAL,BOT,E,1
24600,45600,INTENSE ADESIVO FACIAL PS,BOT,E,2
24600,45627,INTENSE CJ PINC MINI FAC C/4,BOT,E,1
24600,46373,MAKE B MALET MAQUIAGEM C/ALC PU,BOT,E,1
24600,46554,BOTI ECOBAG LONITA SUSTENTAVEL/NYLON,BOT,E,2
24600,46568,SOPHIE BOLSA NYLON,BOT,E,1
24600,46898,ZAAD EDP EXPEDITION 95ml,BOT,A,46
24600,46948,ARBO SHW GEL CAB/CPO 75g,BOT,E,4
24600,47144,CBEM DES ANTIT AER PROTECT/BTY 90g/150ml,BOT,E,5
24600,47146,CBEM DES ANTIT AER INV PROTECT 90g/150ml,BOT,E,6
24600,47148,CBEM DES ANT AER CLIN ULT/PROT 90g/150ml,BOT,E,4
24600,47149,MEN DES ANT AER CLIN ULTR/PROT 90g/150ml,BOT,C,5
24600,47150,MEN DES ANTIT AER COOL PROTECT 90g/150ml,BOT,E,5
24600,47151,CBEM DES ANTIT AER S/ALUM 90g/150ml,BOT,C,2
24600,47152,MEN DES ANTIT AER INV PROTECT 90g/150ml,BOT,C,3
24600,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,E,5
24600,47235,BOTI SUN PROT SOL CPO FPS 30 200g,BOT,E,1
24600,47270,NSPA AMEIXA LATA ORGANIZADORA,BOT,E,3
24600,47299,NSPA COND SOLIDO 75g,BOT,E,2
24600,47300,NSPA SHAMP SLD AMEI 90g,BOT,E,3
24600,47321,BOTIK SRUM ALT/POT ACID MAND/TRANEX 30ml,BOT,C,9
24600,47339,LIZ DES COL SUBLIME 100ml,BOT,A,33
24600,47550,BOTIK GEL CR UNIFOR OLH AC MAND/TRAN 15g,BOT,E,0
24600,47552,BOTICA 214 EDP FOUG AROM VER/FIRENZ 90ml,BOT,E,24
24600,47553,BOTICA 214 EDP FLOR FRUT VER/FIRENZ 75ml,BOT,B,4
24600,47596,BOTI SUN GEL POS SOL ACQUA GEL 120g,BOT,E,3
24600,47598,BOTI SUN PR FAC ANTIOL ACQ FL FPS30 40ml,BOT,C,0
24600,47599,BOTI SUN PROT FAC ANTIOL A/FL FPS70 40ml,BOT,B,5
24600,47600,BOTI SUN PR FAC ANTIS ACQ FLD FPS30 40ml,BOT,E,3
24600,47601,INSTANCE DES ANTIT ROLL FR/VERM 55ml,EUD,E,0
24600,47602,BOTI SUN PR FAC ANTIS ACQ FLD FPS70 40ml,BOT,B,5
24600,47624,MATCH SHAMP PROT DA COR 250ml,BOT,E,3
24600,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,A,13
